t,value
1597515515,8
1597515518,8
1597515521,8
1597515524,8
1597515527,8
1597515530,8
1597515533,8
1597515536,8
1597515539,8
1597515542,8
1597515545,8
1597515548,8
1597515551,8
1597515554,8
1597515557,8
1597515560,8
1597515563,8
1597515566,8
1597515569,8
1597515572,8
1597515575,8
1597515578,8
1597515581,8
1597515584,8
1597515587,8
1597515590,8
1597515593,8
1597515596,8
1597515599,8
1597515602,8
1597515605,8
1597515608,8
1597515611,8
1597515614,8
1597515617,8
1597515620,8
1597515623,8
1597515626,8
1597515629,8
1597515632,8
1597515635,8
1597515638,8
1597515641,8
1597515644,8
1597515647,8
1597515650,8
1597515653,8
1597515656,8
1597515659,8
1597515662,8
1597515665,8
1597515668,8
1597515671,8
1597515674,8
1597515677,8
1597515680,8
1597515683,8
1597515686,8
1597515689,8
1597515692,8
1597515695,8
1597515698,8
1597515701,8
1597515704,8
1597515707,8
1597515710,8
1597515713,8
1597515716,8
1597515719,8
1597515722,8
1597515725,8
1597515728,8
1597515731,8
1597515734,8
1597515737,8
1597515740,8
1597515743,8
1597515746,8
1597515749,8
1597515752,8
1597515755,8
1597515758,8
1597515761,8
1597515764,8
1597515767,8
1597515770,8
1597515773,8
1597515776,8
1597515779,8
1597515782,8
1597515785,8
1597515788,8
1597515791,8
1597515794,8
1597515797,8
1597515800,8
1597515803,8
1597515806,8
1597515809,8
1597515812,8
1597515815,8
1597515818,8
1597515821,8
1597515824,8
1597515827,8
1597515830,8
1597515833,8
1597515836,8
1597515839,8
1597515842,8
1597515845,8
1597515848,8
1597515851,8
1597515854,8
1597515857,8
1597515860,8
1597515863,8
1597515866,8
1597515869,8
1597515872,8
1597515875,8
1597515878,8
1597515881,8
1597515884,8
1597515887,8
1597515890,8
1597515893,8
1597515896,8
1597515899,8
1597515902,8
1597515905,8
1597515908,8
1597515911,8
1597515914,8
1597515917,8
1597515920,8
1597515923,8
1597515926,8
1597515929,8
1597515932,8
1597515935,8
1597515938,8
1597515941,8
1597515944,8
1597515947,8
1597515950,8
1597515953,8
1597515956,8
1597515959,8
1597515962,8
1597515965,8
1597515968,8
1597515971,8
1597515974,8
1597515977,8
1597515980,8
1597515983,8
1597515986,8
1597515989,8
1597515992,8
1597515995,8
1597515998,8
1597516001,8
1597516004,8
1597516007,8
1597516010,8
1597516013,8
1597516016,8
1597516019,8
1597516022,8
1597516025,8
1597516028,8
1597516031,8
1597516034,8
1597516037,8
1597516040,8
1597516043,8
1597516046,8
1597516049,8
