t,value
1597515515,8
1597515518,4
1597515521,4
1597515524,4
1597515527,4
1597515530,4
1597515533,4
1597515536,4
1597515539,4
1597515542,4
1597515545,4
1597515548,4
1597515551,4
1597515554,4
1597515557,4
1597515560,4
1597515563,4
1597515566,4
1597515569,4
1597515572,4
1597515575,4
1597515578,5
1597515581,5
1597515584,5
1597515587,5
1597515590,5
1597515593,5
1597515596,5
1597515599,5
1597515602,5
1597515605,5
1597515608,5
1597515611,5
1597515614,5
1597515617,5
1597515620,5
1597515623,5
1597515626,5
1597515629,5
1597515632,5
1597515635,5
1597515638,5
1597515641,5
1597515644,5
1597515647,5
1597515650,5
1597515653,5
1597515656,5
1597515659,5
1597515662,5
1597515665,5
1597515668,5
1597515671,5
1597515674,5
1597515677,5
1597515680,5
1597515683,5
1597515686,5
1597515689,5
1597515692,5
1597515695,5
1597515698,5
1597515701,5
1597515704,5
1597515707,5
1597515710,5
1597515713,5
1597515716,5
1597515719,5
1597515722,5
1597515725,5
1597515728,5
1597515731,5
1597515734,5
1597515737,5
1597515740,5
1597515743,5
1597515746,5
1597515749,5
1597515752,5
1597515755,5
1597515758,5
1597515761,5
1597515764,5
1597515767,5
1597515770,5
1597515773,5
1597515776,5
1597515779,5
1597515782,5
1597515785,5
1597515788,5
1597515791,5
1597515794,5
1597515797,5
1597515800,5
1597515803,5
1597515806,5
1597515809,5
1597515812,5
1597515815,5
1597515818,5
1597515821,5
1597515824,5
1597515827,5
1597515830,5
1597515833,5
1597515836,5
1597515839,5
1597515842,5
1597515845,5
1597515848,5
1597515851,5
1597515854,5
1597515857,5
1597515860,5
1597515863,5
1597515866,5
1597515869,5
1597515872,5
1597515875,5
1597515878,5
1597515881,5
1597515884,5
1597515887,5
1597515890,5
1597515893,5
1597515896,5
1597515899,5
1597515902,5
1597515905,5
1597515908,5
1597515911,5
1597515914,5
1597515917,5
1597515920,5
1597515923,5
1597515926,5
1597515929,5
1597515932,5
1597515935,5
1597515938,5
1597515941,5
1597515944,5
1597515947,5
1597515950,5
1597515953,5
1597515956,5
1597515959,5
1597515962,5
1597515965,5
1597515968,5
1597515971,5
1597515974,5
1597515977,5
1597515980,5
1597515983,5
1597515986,5
1597515989,5
1597515992,5
1597515995,5
1597515998,5
1597516001,5
1597516004,5
1597516007,5
1597516010,5
1597516013,5
1597516016,5
1597516019,5
1597516022,5
1597516025,5
1597516028,5
1597516031,5
1597516034,5
1597516037,5
1597516040,5
1597516043,5
1597516046,5
1597516049,5
1597516052,5
1597516055,5
1597516058,5
1597516061,5
1597516064,5
1597516067,5
1597516070,5
1597516073,5
1597516076,5
1597516079,5
1597516082,5
1597516085,5
1597516088,5
1597516091,5
1597516094,5
1597516097,5
1597516100,5
1597516103,5
1597516106,5
1597516109,5
1597516112,5
1597516115,5
1597516118,5
1597516121,5
1597516124,5
1597516127,5
1597516130,5
1597516133,5
1597516136,5
1597516139,5
1597516142,5
1597516145,5
1597516148,5
1597516151,5
1597516154,5
1597516157,5
1597516160,5
1597516163,5
1597516166,5
1597516169,5
1597516172,5
1597516175,5
1597516178,5
1597516181,5
1597516184,5
1597516187,5
1597516190,5
1597516193,5
1597516196,5
1597516199,5
1597516202,5
1597516205,5
1597516208,5
1597516211,5
1597516214,5
1597516217,5
1597516220,5
1597516223,5
1597516226,5
1597516229,5
1597516232,5
1597516235,5
1597516238,5
1597516241,5
1597516244,5
1597516247,5
1597516250,5
1597516253,5
1597516256,5
1597516259,5
1597516262,5
1597516265,5
1597516268,5
1597516271,5
1597516274,5
1597516277,5
1597516280,5
1597516283,5
1597516286,5
1597516289,5
1597516292,5
1597516295,5
1597516298,5
1597516301,5
1597516304,5
1597516307,5
1597516310,5
1597516313,5
1597516316,5
1597516319,5
1597516322,5
1597516325,5
1597516328,5
1597516331,5
1597516334,5
1597516337,5
1597516340,5
1597516343,5
1597516346,5
1597516349,5
1597516352,5
1597516355,5
1597516358,5
1597516361,5
1597516364,5
1597516367,5
1597516370,5
1597516373,5
1597516376,5
1597516379,5
1597516382,5
1597516385,5
1597516388,5
1597516391,5
1597516394,5
1597516397,5
1597516400,5
1597516403,5
1597516406,5
1597516409,5
1597516412,5
1597516415,5
1597516418,5
1597516421,5
1597516424,5
1597516427,5
1597516430,5
1597516433,5
1597516436,5
1597516439,5
1597516442,5
1597516445,5
1597516448,5
1597516451,5
1597516454,5
1597516457,5
1597516460,5
1597516463,5
1597516466,5
1597516469,5
1597516472,5
1597516475,5
1597516478,5
1597516481,5
1597516484,5
1597516487,5
1597516490,5
1597516493,5
1597516496,5
1597516499,5
1597516502,5
1597516505,5
1597516508,5
1597516511,5
1597516514,5
1597516517,5
1597516520,5
1597516523,5
1597516526,5
1597516529,5
1597516532,5
1597516535,5
1597516538,5
1597516541,5
1597516544,5
1597516547,5
1597516550,5
1597516553,5
1597516556,5
1597516559,5
1597516562,5
1597516565,5
1597516568,5
1597516571,5
1597516574,5
1597516577,5
1597516580,5
1597516583,5
1597516586,5
1597516589,5
1597516592,5
1597516595,5
1597516598,5
1597516601,5
1597516604,5
1597516607,5
1597516610,5
1597516613,5
1597516616,5
1597516619,5
1597516622,5
1597516625,5
1597516628,5
1597516631,5
1597516634,5
1597516637,5
1597516640,5
1597516643,5
1597516646,5
1597516649,5
1597516652,5
1597516655,5
1597516658,5
1597516661,5
1597516664,5
1597516667,5
1597516670,5
1597516673,5
1597516676,5
1597516679,5
1597516682,5
1597516685,5
1597516688,5
1597516691,5
1597516694,5
1597516697,5
1597516700,5
1597516703,5
1597516706,5
1597516709,5
1597516712,5
1597516715,5
1597516718,5
1597516721,5
1597516724,5
1597516727,5
1597516730,5
1597516733,5
1597516736,5
1597516739,5
1597516742,5
1597516745,5
1597516748,5
1597516751,5
1597516754,5
1597516757,5
1597516760,5
1597516763,5
1597516766,5
1597516769,5
1597516772,5
1597516775,5
1597516778,5
1597516781,5
1597516784,5
1597516787,5
1597516790,5
1597516793,5
1597516796,5
1597516799,5
1597516802,5
1597516805,5
1597516808,5
1597516811,5
1597516814,5
1597516817,5
1597516820,5
1597516823,5
1597516826,5
1597516829,5
1597516832,5
1597516835,5
1597516838,5
1597516841,5
1597516844,5
1597516847,5
1597516850,5
1597516853,5
1597516856,5
1597516859,5
1597516862,5
1597516865,5
1597516868,5
1597516871,5
1597516874,5
1597516877,5
1597516880,5
1597516883,5
1597516886,5
1597516889,5
1597516892,5
1597516895,5
1597516898,5
1597516901,5
1597516904,5
1597516907,5
1597516910,5
1597516913,5
1597516916,5
1597516919,5
1597516922,5
1597516925,5
1597516928,5
1597516931,5
1597516934,5
1597516937,5
1597516940,5
1597516943,5
1597516946,5
1597516949,5
1597516952,5
1597516955,5
1597516958,5
1597516961,5
1597516964,5
1597516967,5
1597516970,5
1597516973,5
1597516976,5
1597516979,5
1597516982,5
1597516985,5
1597516988,5
1597516991,5
1597516994,5
1597516997,5
1597517000,5
1597517003,5
1597517006,5
1597517009,5
1597517012,5
1597517015,5
1597517018,5
1597517021,5
1597517024,5
1597517027,5
1597517030,5
1597517033,5
1597517036,5
1597517039,5
1597517042,5
1597517045,5
1597517048,5
1597517051,5
1597517054,5
1597517057,5
1597517060,5
1597517063,5
1597517066,5
1597517069,5
1597517072,5
1597517075,5
1597517078,5
1597517081,5
1597517084,5
1597517087,5
1597517090,5
1597517093,5
1597517096,5
1597517099,5
1597517102,5
1597517105,5
1597517108,5
1597517111,5
1597517114,5
1597517117,5
1597517120,5
1597517123,5
1597517126,5
1597517129,5
1597517132,5
1597517135,5
1597517138,5
1597517141,5
1597517144,5
1597517147,5
1597517150,5
1597517153,5
1597517156,5
1597517159,5
1597517162,5
1597517165,5
1597517168,5
1597517171,5
1597517174,5
1597517177,5
1597517180,5
1597517183,5
1597517186,5
1597517189,5
1597517192,5
1597517195,5
1597517198,5
1597517201,5
1597517204,5
1597517207,5
1597517210,5
1597517213,5
1597517216,5
1597517219,5
1597517222,5
1597517225,5
1597517228,5
1597517231,5
1597517234,5
1597517237,5
1597517240,5
1597517243,5
1597517246,5
1597517249,5
1597517252,5
1597517255,5
1597517258,5
1597517261,5
1597517264,5
1597517267,5
1597517270,5
1597517273,5
1597517276,5
1597517279,5
1597517282,5
1597517285,5
1597517288,5
1597517291,5
1597517294,5
1597517297,5
1597517300,5
1597517303,5
1597517306,5
1597517309,5
1597517312,5
1597517315,5
1597517318,5
1597517321,5
1597517324,5
1597517327,5
1597517330,5
1597517333,5
1597517336,5
1597517339,5
1597517342,5
1597517345,5
1597517348,5
1597517351,5
1597517354,5
1597517357,5
1597517360,5
1597517363,5
1597517366,5
1597517369,5
1597517372,5
1597517375,5
1597517378,5
1597517381,5
1597517384,5
1597517387,5
1597517390,5
1597517393,5
1597517396,5
1597517399,5
1597517402,5
1597517405,5
1597517408,5
1597517411,5
1597517414,5
1597517417,5
1597517420,5
1597517423,5
1597517426,5
1597517429,5
1597517432,5
1597517435,5
1597517438,5
1597517441,5
1597517444,5
1597517447,5
1597517450,5
1597517453,5
1597517456,5
1597517459,5
1597517462,5
1597517465,5
1597517468,5
1597517471,5
1597517474,5
1597517477,5
1597517480,5
1597517483,5
1597517486,5
1597517489,5
1597517492,5
1597517495,5
1597517498,5
1597517501,5
1597517504,5
1597517507,5
1597517510,5
1597517513,5
1597517516,5
1597517519,5
1597517522,5
1597517525,5
1597517528,5
1597517531,5
1597517534,5
1597517537,5
1597517540,5
1597517543,5
1597517546,5
1597517549,5
1597517552,5
1597517555,5
1597517558,5
1597517561,5
1597517564,5
1597517567,5
1597517570,5
1597517573,5
1597517576,5
1597517579,5
1597517582,5
1597517585,5
1597517588,5
1597517591,5
1597517594,5
1597517597,5
1597517600,5
1597517603,5
1597517606,5
1597517609,5
1597517612,5
1597517615,5
1597517618,5
1597517621,5
1597517624,5
1597517627,5
1597517630,5
1597517633,5
1597517636,5
1597517639,5
1597517642,5
1597517645,5
1597517648,5
1597517651,5
1597517654,5
1597517657,5
1597517660,5
1597517663,5
1597517666,5
1597517669,5
1597517672,5
1597517675,5
1597517678,5
1597517681,5
1597517684,5
1597517687,5
1597517690,5
1597517693,5
1597517696,5
1597517699,5
1597517702,5
1597517705,5
1597517708,5
1597517711,5
1597517714,5
1597517717,5
1597517720,5
1597517723,5
1597517726,5
1597517729,5
1597517732,5
1597517735,5
1597517738,5
1597517741,5
1597517744,5
1597517747,5
1597517750,5
1597517753,5
1597517756,5
1597517759,5
1597517762,5
1597517765,5
1597517768,5
1597517771,5
1597517774,5
1597517777,5
1597517780,5
1597517783,5
1597517786,5
1597517789,5
1597517792,5
1597517795,5
1597517798,5
1597517801,5
1597517804,5
1597517807,5
1597517810,5
1597517813,5
1597517816,5
1597517819,5
1597517822,5
1597517825,5
1597517828,5
1597517831,5
1597517834,5
1597517837,5
1597517840,5
1597517843,5
1597517846,5
1597517849,5
1597517852,5
1597517855,5
1597517858,5
1597517861,5
1597517864,5
1597517867,5
1597517870,5
1597517873,5
1597517876,5
1597517879,5
1597517882,5
1597517885,5
1597517888,5
1597517891,5
1597517894,5
1597517897,5
1597517900,5
1597517903,5
1597517906,5
1597517909,5
1597517912,5
1597517915,5
1597517918,5
1597517921,5
1597517924,5
1597517927,5
1597517930,5
1597517933,5
1597517936,5
1597517939,5
1597517942,5
1597517945,5
1597517948,5
1597517951,5
1597517954,5
1597517957,5
1597517960,5
1597517963,5
1597517966,5
1597517969,5
1597517972,5
1597517975,5
1597517978,5
1597517981,5
1597517984,5
1597517987,5
1597517990,5
1597517993,5
1597517996,5
1597517999,5
1597518002,5
1597518005,5
1597518008,5
1597518011,5
1597518014,5
1597518017,5
1597518020,5
1597518023,5
1597518026,5
1597518029,5
1597518032,5
1597518035,5
1597518038,5
1597518041,5
1597518044,5
1597518047,5
1597518050,5
1597518053,5
1597518056,5
1597518059,5
1597518062,5
1597518065,5
1597518068,5
1597518071,5
1597518074,5
1597518077,5
1597518080,5
1597518083,5
1597518086,5
1597518089,5
1597518092,5
1597518095,5
1597518098,5
1597518101,5
1597518104,5
1597518107,5
1597518110,5
1597518113,5
1597518116,5
1597518119,5
1597518122,5
1597518125,5
1597518128,5
1597518131,5
1597518134,5
1597518137,5
1597518140,5
1597518143,5
1597518146,5
1597518149,5
1597518152,5
1597518155,5
1597518158,5
1597518161,5
1597518164,5
1597518167,5
1597518170,5
1597518173,5
1597518176,5
1597518179,5
1597518182,5
1597518185,5
1597518188,5
1597518191,5
1597518194,5
1597518197,5
1597518200,5
1597518203,5
1597518206,5
1597518209,5
1597518212,5
1597518215,5
1597518218,5
1597518221,5
1597518224,5
1597518227,5
1597518230,5
1597518233,5
1597518236,5
1597518239,5
1597518242,5
1597518245,5
1597518248,5
1597518251,5
1597518254,5
1597518257,5
1597518260,5
1597518263,5
1597518266,5
1597518269,5
1597518272,5
1597518275,5
1597518278,5
1597518281,5
1597518284,5
1597518287,5
1597518290,5
1597518293,5
1597518296,5
1597518299,5
1597518302,5
1597518305,5
1597518308,5
1597518311,5
1597518314,5
1597518317,5
1597518320,5
1597518323,5
1597518326,5
1597518329,5
1597518332,5
1597518335,5
1597518338,5
1597518341,5
1597518344,5
1597518347,5
1597518350,5
1597518353,5
1597518356,5
1597518359,5
1597518362,5
1597518365,5
1597518368,5
1597518371,5
1597518374,5
1597518377,5
1597518380,5
1597518383,5
1597518386,5
1597518389,5
1597518392,5
1597518395,5
1597518398,5
1597518401,5
1597518404,5
1597518407,5
1597518410,5
1597518413,5
1597518416,5
1597518419,5
1597518422,5
1597518425,5
1597518428,5
1597518431,5
1597518434,5
1597518437,5
1597518440,5
1597518443,5
1597518446,5
1597518449,5
1597518452,5
1597518455,5
1597518458,5
1597518461,5
1597518464,5
1597518467,5
1597518470,5
1597518473,5
1597518476,5
1597518479,5
1597518482,5
1597518485,5
1597518488,5
1597518491,5
1597518494,5
1597518497,5
1597518500,5
1597518503,5
1597518506,5
1597518509,5
1597518512,5
1597518515,5
1597518518,5
1597518521,5
1597518524,5
1597518527,5
1597518530,5
1597518533,5
1597518536,5
1597518539,5
1597518542,5
1597518545,5
1597518548,5
1597518551,5
1597518554,5
1597518557,5
1597518560,5
1597518563,5
1597518566,5
1597518569,5
1597518572,5
1597518575,5
1597518578,5
1597518581,5
1597518584,5
1597518587,5
1597518590,5
1597518593,5
1597518596,5
1597518599,5
1597518602,5
1597518605,5
1597518608,5
1597518611,5
1597518614,5
1597518617,5
1597518620,5
1597518623,5
1597518626,5
1597518629,5
1597518632,5
1597518635,5
1597518638,5
1597518641,5
1597518644,5
1597518647,5
1597518650,5
1597518653,5
1597518656,5
1597518659,5
1597518662,5
1597518665,5
1597518668,5
1597518671,5
1597518674,5
1597518677,5
1597518680,5
1597518683,5
1597518686,5
1597518689,5
1597518692,5
1597518695,5
1597518698,5
1597518701,5
1597518704,5
1597518707,5
1597518710,5
1597518713,5
1597518716,5
1597518719,5
1597518722,5
1597518725,5
1597518728,5
1597518731,5
1597518734,5
1597518737,5
1597518740,5
1597518743,5
1597518746,5
1597518749,5
1597518752,5
1597518755,5
1597518758,5
1597518761,5
1597518764,5
1597518767,5
1597518770,5
1597518773,5
1597518776,5
1597518779,5
1597518782,5
1597518785,5
1597518788,5
1597518791,5
1597518794,5
1597518797,5
1597518800,5
1597518803,5
1597518806,5
1597518809,5
1597518812,5
1597518815,5
1597518818,5
1597518821,5
1597518824,5
1597518827,5
1597518830,5
1597518833,5
1597518836,5
1597518839,5
1597518842,5
1597518845,5
1597518848,5
1597518851,5
1597518854,5
1597518857,5
1597518860,5
1597518863,5
1597518866,5
1597518869,5
1597518872,5
1597518875,5
1597518878,5
1597518881,5
1597518884,5
1597518887,5
1597518890,5
1597518893,5
1597518896,5
1597518899,5
1597518902,5
1597518905,5
1597518908,5
1597518911,5
1597518914,5
1597518917,5
1597518920,5
1597518923,5
1597518926,5
1597518929,5
1597518932,5
1597518935,5
1597518938,5
1597518941,5
1597518944,5
1597518947,5
1597518950,5
1597518953,5
1597518956,5
1597518959,5
1597518962,5
1597518965,5
1597518968,5
1597518971,5
1597518974,5
1597518977,5
1597518980,5
1597518983,5
1597518986,5
1597518989,5
1597518992,5
1597518995,5
1597518998,5
1597519001,5
1597519004,5
1597519007,5
1597519010,5
1597519013,5
1597519016,5
1597519019,5
1597519022,5
1597519025,5
1597519028,5
1597519031,5
1597519034,5
1597519037,5
1597519040,5
1597519043,5
1597519046,5
1597519049,5
1597519052,5
1597519055,5
1597519058,5
1597519061,5
1597519064,5
1597519067,5
1597519070,5
1597519073,5
1597519076,5
1597519079,5
1597519082,5
1597519085,5
1597519088,5
1597519091,5
1597519094,5
1597519097,5
1597519100,5
1597519103,5
1597519106,5
1597519109,5
1597519112,5
1597519115,5
1597519118,5
1597519121,5
1597519124,5
1597519127,5
1597519130,5
1597519133,5
1597519136,5
1597519139,5
1597519142,5
1597519145,5
1597519148,5
1597519151,5
1597519154,5
1597519157,5
1597519160,5
1597519163,5
1597519166,5
1597519169,5
1597519172,5
1597519175,5
1597519178,5
1597519181,5
1597519184,5
1597519187,5
1597519190,5
1597519193,5
1597519196,5
1597519199,5
1597519202,5
1597519205,5
1597519208,5
1597519211,5
1597519214,5
1597519217,5
1597519220,5
1597519223,5
1597519226,5
1597519229,5
1597519232,5
1597519235,5
1597519238,5
1597519241,5
1597519244,5
1597519247,5
1597519250,5
1597519253,5
1597519256,5
1597519259,5
1597519262,5
1597519265,5
1597519268,5
1597519271,5
1597519274,5
1597519277,5
1597519280,5
1597519283,5
1597519286,5
1597519289,5
1597519292,5
1597519295,5
1597519298,5
1597519301,5
1597519304,5
1597519307,5
1597519310,5
1597519313,5
1597519316,5
1597519319,5
1597519322,5
1597519325,5
1597519328,5
1597519331,5
1597519334,5
1597519337,5
1597519340,5
1597519343,5
1597519346,5
1597519349,5
1597519352,5
1597519355,5
1597519358,5
1597519361,5
1597519364,5
1597519367,5
1597519370,5
1597519373,5
1597519376,5
1597519379,5
1597519382,5
1597519385,5
1597519388,5
1597519391,5
1597519394,5
1597519397,5
1597519400,5
1597519403,5
1597519406,5
1597519409,5
1597519412,5
1597519415,5
1597519418,5
1597519421,5
1597519424,5
1597519427,5
1597519430,5
1597519433,5
1597519436,5
1597519439,5
1597519442,5
1597519445,5
1597519448,5
1597519451,5
1597519454,5
1597519457,5
1597519460,5
1597519463,5
1597519466,5
1597519469,5
1597519472,5
1597519475,5
1597519478,5
1597519481,5
1597519484,5
1597519487,5
1597519490,5
1597519493,5
1597519496,5
1597519499,5
1597519502,5
1597519505,5
1597519508,5
1597519511,5
1597519514,5
1597519517,5
1597519520,5
1597519523,5
1597519526,5
1597519529,5
1597519532,5
1597519535,5
1597519538,5
1597519541,5
1597519544,5
1597519547,5
1597519550,5
1597519553,5
1597519556,5
1597519559,5
1597519562,5
1597519565,5
1597519568,5
1597519571,5
1597519574,5
1597519577,5
1597519580,5
1597519583,5
1597519586,5
1597519589,5
1597519592,5
1597519595,5
1597519598,5
1597519601,5
1597519604,5
1597519607,5
1597519610,5
