t,value
1597515515,32
1597515518,32
1597515521,32
1597515524,32
1597515527,32
1597515530,32
1597515533,32
1597515536,32
1597515539,32
1597515542,32
1597515545,32
1597515548,32
1597515551,32
1597515554,32
1597515557,32
1597515560,32
1597515563,32
1597515566,32
1597515569,32
1597515572,32
1597515575,32
1597515578,32
1597515581,32
1597515584,32
1597515587,32
1597515590,32
1597515593,32
1597515596,32
1597515599,32
1597515602,32
1597515605,32
1597515608,32
1597515611,32
1597515614,32
1597515617,32
1597515620,32
1597515623,32
1597515626,32
1597515629,32
1597515632,32
1597515635,32
1597515638,32
1597515641,32
1597515644,32
1597515647,32
1597515650,32
1597515653,32
1597515656,32
1597515659,32
1597515662,32
1597515665,32
1597515668,32
1597515671,32
1597515674,32
1597515677,32
1597515680,32
1597515683,32
1597515686,32
1597515689,32
1597515692,32
1597515695,32
1597515698,32
1597515701,32
1597515704,32
1597515707,32
1597515710,32
1597515713,32
1597515716,32
1597515719,32
1597515722,32
1597515725,32
1597515728,32
1597515731,32
1597515734,32
1597515737,32
1597515740,32
1597515743,32
1597515746,32
1597515749,32
1597515752,32
1597515755,32
1597515758,32
1597515761,32
1597515764,32
1597515767,32
1597515770,32
1597515773,32
1597515776,32
1597515779,32
1597515782,32
1597515785,32
1597515788,32
1597515791,32
1597515794,32
1597515797,32
1597515800,32
1597515803,32
1597515806,32
1597515809,32
1597515812,32
1597515815,32
1597515818,32
1597515821,32
1597515824,32
1597515827,32
1597515830,32
1597515833,32
1597515836,32
1597515839,32
1597515842,32
1597515845,32
1597515848,32
1597515851,32
1597515854,32
1597515857,32
1597515860,32
1597515863,32
1597515866,32
1597515869,32
1597515872,32
1597515875,32
1597515878,32
1597515881,32
1597515884,32
1597515887,32
1597515890,32
1597515893,32
1597515896,32
1597515899,32
1597515902,32
1597515905,32
1597515908,32
1597515911,32
1597515914,32
1597515917,32
1597515920,32
1597515923,32
1597515926,32
1597515929,32
1597515932,32
1597515935,32
1597515938,32
1597515941,32
1597515944,32
1597515947,32
1597515950,32
1597515953,32
1597515956,32
1597515959,32
1597515962,32
1597515965,32
1597515968,32
1597515971,32
1597515974,32
1597515977,32
1597515980,32
1597515983,32
1597515986,32
1597515989,32
1597515992,32
1597515995,32
1597515998,32
1597516001,32
1597516004,32
1597516007,32
1597516010,32
1597516013,32
1597516016,32
1597516019,32
1597516022,32
1597516025,32
1597516028,32
1597516031,32
1597516034,32
1597516037,32
1597516040,32
1597516043,32
1597516046,32
1597516049,32
1597516052,32
1597516055,32
1597516058,32
1597516061,32
1597516064,32
1597516067,32
1597516070,32
1597516073,32
1597516076,32
1597516079,32
1597516082,32
1597516085,32
1597516088,32
1597516091,32
1597516094,32
1597516097,32
1597516100,32
1597516103,32
1597516106,32
1597516109,32
1597516112,32
1597516115,32
1597516118,32
1597516121,32
1597516124,32
1597516127,32
1597516130,32
1597516133,32
1597516136,32
1597516139,32
1597516142,32
1597516145,32
1597516148,32
1597516151,32
1597516154,32
1597516157,32
1597516160,32
1597516163,32
1597516166,32
1597516169,32
1597516172,32
1597516175,32
1597516178,32
1597516181,32
1597516184,32
1597516187,32
1597516190,32
1597516193,32
1597516196,32
1597516199,32
1597516202,32
1597516205,32
1597516208,32
1597516211,32
1597516214,32
1597516217,32
1597516220,32
1597516223,32
1597516226,32
1597516229,32
1597516232,32
1597516235,32
1597516238,32
1597516241,32
1597516244,32
1597516247,32
1597516250,32
1597516253,32
1597516256,32
1597516259,32
1597516262,32
1597516265,32
1597516268,32
1597516271,32
1597516274,32
1597516277,32
1597516280,32
1597516283,32
1597516286,32
1597516289,32
1597516292,32
1597516295,32
1597516298,32
1597516301,32
1597516304,32
1597516307,32
1597516310,32
1597516313,32
1597516316,32
1597516319,32
1597516322,32
1597516325,32
1597516328,32
1597516331,32
1597516334,32
1597516337,32
1597516340,32
1597516343,32
1597516346,32
1597516349,32
1597516352,32
1597516355,32
1597516358,32
1597516361,32
1597516364,32
1597516367,32
1597516370,32
1597516373,32
1597516376,32
1597516379,32
1597516382,32
1597516385,32
1597516388,32
1597516391,32
1597516394,32
1597516397,32
1597516400,32
1597516403,32
1597516406,32
1597516409,32
1597516412,32
1597516415,32
1597516418,32
1597516421,32
1597516424,32
1597516427,32
1597516430,32
1597516433,32
1597516436,32
1597516439,32
1597516442,32
1597516445,32
1597516448,32
1597516451,32
1597516454,32
1597516457,32
1597516460,32
1597516463,32
1597516466,32
1597516469,32
1597516472,32
1597516475,32
1597516478,32
1597516481,32
1597516484,32
1597516487,32
1597516490,32
1597516493,32
1597516496,32
1597516499,32
1597516502,32
1597516505,32
1597516508,32
1597516511,32
1597516514,32
1597516517,32
1597516520,32
1597516523,32
1597516526,32
1597516529,32
1597516532,32
1597516535,32
1597516538,32
1597516541,32
1597516544,32
1597516547,32
1597516550,32
1597516553,32
1597516556,32
1597516559,32
1597516562,32
1597516565,32
1597516568,32
1597516571,32
1597516574,32
1597516577,32
1597516580,32
1597516583,32
1597516586,32
1597516589,32
1597516592,32
1597516595,32
1597516598,32
1597516601,32
1597516604,32
1597516607,32
1597516610,32
1597516613,32
1597516616,32
1597516619,32
1597516622,32
1597516625,32
1597516628,32
1597516631,32
1597516634,32
1597516637,32
1597516640,32
1597516643,32
1597516646,32
1597516649,32
1597516652,32
1597516655,32
1597516658,32
1597516661,32
1597516664,32
1597516667,32
1597516670,32
1597516673,32
1597516676,32
1597516679,32
1597516682,32
1597516685,32
1597516688,32
1597516691,32
1597516694,32
1597516697,32
1597516700,32
1597516703,32
1597516706,32
1597516709,32
1597516712,32
1597516715,32
1597516718,32
1597516721,32
1597516724,32
1597516727,32
1597516730,32
1597516733,32
1597516736,32
1597516739,32
1597516742,32
1597516745,32
1597516748,32
1597516751,32
1597516754,32
1597516757,32
1597516760,32
1597516763,32
1597516766,32
1597516769,32
1597516772,32
1597516775,32
1597516778,32
1597516781,32
1597516784,32
1597516787,32
1597516790,32
1597516793,32
1597516796,32
1597516799,32
1597516802,32
1597516805,32
1597516808,32
1597516811,32
1597516814,32
1597516817,32
1597516820,32
1597516823,32
1597516826,32
1597516829,32
1597516832,32
1597516835,32
1597516838,32
1597516841,32
1597516844,32
1597516847,32
1597516850,32
1597516853,32
1597516856,32
1597516859,32
1597516862,32
1597516865,32
1597516868,32
1597516871,32
1597516874,32
1597516877,32
1597516880,32
1597516883,32
1597516886,32
1597516889,32
1597516892,32
1597516895,32
1597516898,32
1597516901,32
1597516904,32
1597516907,32
1597516910,32
1597516913,32
1597516916,32
1597516919,32
1597516922,32
1597516925,32
1597516928,32
1597516931,32
1597516934,32
1597516937,32
1597516940,32
1597516943,32
1597516946,32
1597516949,32
1597516952,32
1597516955,32
1597516958,32
1597516961,32
1597516964,32
1597516967,32
1597516970,32
1597516973,32
1597516976,32
1597516979,32
1597516982,32
1597516985,32
1597516988,32
1597516991,32
1597516994,32
1597516997,32
1597517000,32
1597517003,32
1597517006,32
1597517009,32
1597517012,32
1597517015,32
1597517018,32
1597517021,32
1597517024,32
1597517027,32
1597517030,32
1597517033,32
1597517036,32
1597517039,32
1597517042,32
1597517045,32
1597517048,32
1597517051,32
1597517054,32
1597517057,32
1597517060,32
1597517063,32
1597517066,32
1597517069,32
1597517072,32
1597517075,32
1597517078,32
1597517081,32
1597517084,32
1597517087,32
1597517090,32
1597517093,32
1597517096,32
1597517099,32
1597517102,32
1597517105,32
1597517108,32
1597517111,32
1597517114,32
1597517117,32
1597517120,32
1597517123,32
1597517126,32
1597517129,32
1597517132,32
1597517135,32
1597517138,32
1597517141,32
1597517144,32
1597517147,32
1597517150,32
1597517153,32
1597517156,32
1597517159,32
1597517162,32
1597517165,32
1597517168,32
1597517171,32
1597517174,32
1597517177,32
1597517180,32
1597517183,32
1597517186,32
1597517189,32
1597517192,32
1597517195,32
1597517198,32
1597517201,32
1597517204,32
1597517207,32
1597517210,32
1597517213,32
1597517216,32
1597517219,32
1597517222,32
1597517225,32
1597517228,32
1597517231,32
1597517234,32
1597517237,32
1597517240,32
1597517243,32
1597517246,32
1597517249,32
1597517252,32
1597517255,32
1597517258,32
1597517261,32
1597517264,32
1597517267,32
1597517270,32
1597517273,32
1597517276,32
1597517279,32
1597517282,32
1597517285,32
1597517288,32
1597517291,32
1597517294,32
1597517297,32
1597517300,32
1597517303,32
1597517306,32
1597517309,32
1597517312,32
1597517315,32
1597517318,32
1597517321,32
1597517324,32
1597517327,32
1597517330,32
1597517333,32
1597517336,32
1597517339,32
1597517342,32
1597517345,32
1597517348,32
1597517351,32
