t,value
1597515515,80
1597515518,80
1597515521,80
1597515524,80
1597515527,80
1597515530,80
1597515533,80
1597515536,80
1597515539,80
1597515542,80
1597515545,80
1597515548,80
1597515551,80
1597515554,80
1597515557,80
1597515560,80
1597515563,80
1597515566,80
1597515569,80
1597515572,80
1597515575,80
1597515578,80
1597515581,80
1597515584,80
1597515587,80
1597515590,80
1597515593,80
1597515596,80
1597515599,80
1597515602,80
1597515605,80
1597515608,80
1597515611,80
1597515614,80
1597515617,80
1597515620,80
1597515623,80
1597515626,80
1597515629,80
1597515632,80
1597515635,80
1597515638,80
1597515641,80
1597515644,80
1597515647,80
1597515650,80
1597515653,80
1597515656,80
1597515659,80
1597515662,80
1597515665,80
1597515668,80
1597515671,80
1597515674,80
1597515677,80
1597515680,80
1597515683,80
1597515686,80
1597515689,80
1597515692,80
1597515695,80
1597515698,80
1597515701,80
1597515704,80
1597515707,80
1597515710,80
1597515713,80
1597515716,80
1597515719,80
1597515722,80
1597515725,80
1597515728,80
1597515731,80
1597515734,80
1597515737,80
1597515740,80
1597515743,80
1597515746,80
1597515749,80
1597515752,80
1597515755,80
1597515758,80
1597515761,80
1597515764,80
1597515767,80
1597515770,80
1597515773,80
1597515776,80
1597515779,80
1597515782,80
1597515785,80
1597515788,80
1597515791,80
1597515794,80
1597515797,80
1597515800,80
1597515803,80
1597515806,80
1597515809,80
1597515812,80
1597515815,80
1597515818,80
1597515821,80
1597515824,80
1597515827,80
1597515830,80
1597515833,80
1597515836,80
1597515839,80
1597515842,80
1597515845,80
1597515848,80
1597515851,80
1597515854,80
1597515857,80
1597515860,80
1597515863,80
1597515866,80
1597515869,80
1597515872,80
1597515875,80
1597515878,80
1597515881,80
1597515884,80
1597515887,80
1597515890,80
1597515893,80
1597515896,80
1597515899,80
1597515902,80
1597515905,80
1597515908,80
1597515911,80
1597515914,80
1597515917,80
1597515920,80
1597515923,80
1597515926,80
1597515929,80
1597515932,80
1597515935,80
1597515938,80
1597515941,80
1597515944,80
1597515947,80
1597515950,80
1597515953,80
1597515956,80
1597515959,80
1597515962,80
1597515965,80
1597515968,80
1597515971,80
1597515974,80
1597515977,80
1597515980,80
1597515983,80
1597515986,80
1597515989,80
1597515992,80
1597515995,80
1597515998,80
1597516001,80
1597516004,80
1597516007,80
