t,value
1597515515,6
1597515518,6
1597515521,6
1597515524,6
1597515527,6
1597515530,6
1597515533,6
1597515536,6
1597515539,6
1597515542,6
1597515545,6
1597515548,6
1597515551,6
1597515554,6
1597515557,6
1597515560,6
1597515563,6
1597515566,6
1597515569,6
1597515572,6
1597515575,6
1597515578,6
1597515581,6
1597515584,6
1597515587,6
1597515590,6
1597515593,6
1597515596,6
1597515599,6
1597515602,6
1597515605,6
1597515608,6
1597515611,6
1597515614,6
1597515617,6
1597515620,6
1597515623,6
1597515626,6
1597515629,6
1597515632,6
1597515635,6
1597515638,6
1597515641,6
1597515644,6
1597515647,6
1597515650,6
1597515653,6
1597515656,6
1597515659,6
1597515662,6
1597515665,6
1597515668,6
1597515671,6
1597515674,6
1597515677,6
1597515680,6
1597515683,6
1597515686,6
1597515689,6
1597515692,6
1597515695,6
1597515698,6
1597515701,6
1597515704,6
1597515707,6
1597515710,6
1597515713,6
1597515716,6
1597515719,6
1597515722,6
1597515725,6
1597515728,6
1597515731,6
1597515734,6
1597515737,6
1597515740,6
1597515743,6
1597515746,6
1597515749,6
1597515752,6
1597515755,6
1597515758,6
1597515761,6
1597515764,6
1597515767,6
1597515770,6
1597515773,6
1597515776,6
1597515779,6
1597515782,6
1597515785,6
1597515788,6
1597515791,6
1597515794,6
1597515797,6
1597515800,6
1597515803,6
1597515806,6
1597515809,6
1597515812,6
1597515815,6
1597515818,6
1597515821,6
1597515824,6
1597515827,6
1597515830,6
1597515833,6
1597515836,6
1597515839,6
1597515842,6
1597515845,6
1597515848,6
1597515851,6
1597515854,6
1597515857,6
1597515860,6
1597515863,6
1597515866,6
1597515869,6
1597515872,6
1597515875,6
1597515878,6
1597515881,6
1597515884,6
1597515887,6
1597515890,6
1597515893,6
1597515896,6
1597515899,6
1597515902,6
1597515905,6
1597515908,6
1597515911,6
1597515914,6
1597515917,6
1597515920,6
1597515923,6
1597515926,6
1597515929,6
1597515932,6
1597515935,6
1597515938,6
1597515941,6
1597515944,6
1597515947,6
1597515950,6
1597515953,6
1597515956,6
1597515959,6
1597515962,6
1597515965,6
1597515968,6
1597515971,6
1597515974,6
1597515977,6
1597515980,6
1597515983,6
1597515986,6
1597515989,6
1597515992,6
1597515995,6
1597515998,6
1597516001,6
1597516004,6
1597516007,6
1597516010,6
1597516013,6
1597516016,6
1597516019,6
1597516022,6
1597516025,6
1597516028,6
1597516031,6
1597516034,6
1597516037,6
1597516040,6
1597516043,6
1597516046,6
1597516049,6
