t,value
1597515515,32
1597515518,32
1597515521,32
1597515524,32
1597515527,32
1597515530,32
1597515533,32
1597515536,32
1597515539,32
1597515542,32
1597515545,32
1597515548,32
1597515551,32
1597515554,32
1597515557,32
1597515560,32
1597515563,32
1597515566,32
1597515569,32
1597515572,32
1597515575,32
1597515578,32
1597515581,32
1597515584,32
1597515587,32
1597515590,32
1597515593,32
1597515596,32
1597515599,32
1597515602,32
1597515605,32
1597515608,32
1597515611,32
1597515614,32
1597515617,32
1597515620,32
1597515623,32
1597515626,32
1597515629,32
1597515632,32
1597515635,32
1597515638,32
1597515641,32
1597515644,32
1597515647,32
1597515650,32
1597515653,32
1597515656,32
1597515659,32
1597515662,32
1597515665,32
1597515668,32
1597515671,32
1597515674,32
1597515677,32
1597515680,32
1597515683,32
1597515686,32
1597515689,32
1597515692,32
1597515695,32
1597515698,32
1597515701,32
1597515704,32
1597515707,32
1597515710,32
1597515713,32
1597515716,32
1597515719,32
1597515722,32
1597515725,32
1597515728,32
1597515731,32
1597515734,32
1597515737,32
1597515740,32
1597515743,32
1597515746,32
1597515749,32
1597515752,32
1597515755,32
1597515758,32
1597515761,32
1597515764,32
1597515767,32
1597515770,32
1597515773,32
1597515776,32
1597515779,32
1597515782,32
1597515785,32
1597515788,32
1597515791,32
1597515794,32
1597515797,32
1597515800,32
1597515803,32
1597515806,32
1597515809,32
1597515812,32
1597515815,32
1597515818,32
1597515821,32
1597515824,32
1597515827,32
1597515830,32
1597515833,32
1597515836,32
1597515839,32
1597515842,32
1597515845,32
1597515848,32
1597515851,32
1597515854,32
1597515857,32
1597515860,32
1597515863,32
1597515866,32
1597515869,32
1597515872,32
1597515875,32
1597515878,32
1597515881,32
1597515884,32
1597515887,32
1597515890,32
1597515893,32
1597515896,32
1597515899,32
1597515902,32
1597515905,32
1597515908,32
1597515911,32
1597515914,32
1597515917,32
1597515920,32
1597515923,32
1597515926,32
1597515929,32
1597515932,32
1597515935,32
1597515938,32
