t,value
1597515515,61
1597515518,61
1597515521,61
1597515524,61
1597515527,61
1597515530,61
1597515533,61
1597515536,61
1597515539,61
1597515542,61
1597515545,61
1597515548,61
1597515551,61
1597515554,61
1597515557,61
1597515560,61
1597515563,61
1597515566,61
1597515569,61
1597515572,61
1597515575,61
1597515578,61
1597515581,61
1597515584,61
1597515587,61
1597515590,61
1597515593,61
1597515596,61
1597515599,61
1597515602,61
1597515605,61
1597515608,61
1597515611,61
1597515614,61
1597515617,61
1597515620,61
1597515623,61
1597515626,61
1597515629,61
1597515632,61
1597515635,61
1597515638,61
1597515641,61
1597515644,61
1597515647,61
1597515650,61
1597515653,61
1597515656,61
1597515659,61
1597515662,61
1597515665,61
1597515668,61
1597515671,61
1597515674,61
1597515677,61
1597515680,61
1597515683,61
1597515686,61
1597515689,61
1597515692,61
1597515695,61
1597515698,61
1597515701,61
1597515704,61
1597515707,61
1597515710,61
1597515713,61
1597515716,61
1597515719,61
1597515722,61
1597515725,61
1597515728,61
1597515731,61
1597515734,61
1597515737,61
1597515740,61
1597515743,61
1597515746,61
1597515749,61
1597515752,61
1597515755,61
1597515758,61
1597515761,61
1597515764,61
1597515767,61
1597515770,61
1597515773,61
1597515776,61
1597515779,61
1597515782,61
1597515785,61
1597515788,61
1597515791,61
1597515794,61
1597515797,61
1597515800,61
1597515803,61
1597515806,61
1597515809,61
1597515812,61
1597515815,61
1597515818,61
1597515821,61
1597515824,61
1597515827,61
1597515830,61
1597515833,61
1597515836,61
1597515839,61
1597515842,61
1597515845,61
1597515848,61
1597515851,61
1597515854,61
1597515857,61
1597515860,61
1597515863,61
1597515866,61
1597515869,61
1597515872,61
1597515875,61
1597515878,61
1597515881,61
1597515884,61
1597515887,61
1597515890,61
1597515893,61
1597515896,61
1597515899,61
1597515902,61
1597515905,61
1597515908,61
1597515911,61
1597515914,61
1597515917,61
1597515920,61
1597515923,61
1597515926,61
1597515929,61
1597515932,61
1597515935,61
1597515938,61
1597515941,61
1597515944,61
1597515947,61
1597515950,61
1597515953,61
1597515956,61
1597515959,61
1597515962,61
1597515965,61
1597515968,61
1597515971,61
1597515974,61
1597515977,61
1597515980,61
1597515983,61
1597515986,61
1597515989,61
1597515992,61
1597515995,61
1597515998,61
1597516001,61
1597516004,61
1597516007,61
1597516010,61
1597516013,61
1597516016,61
1597516019,61
1597516022,61
1597516025,61
1597516028,61
1597516031,61
1597516034,61
1597516037,61
1597516040,61
1597516043,61
1597516046,61
1597516049,61
1597516052,61
1597516055,61
1597516058,61
1597516061,61
1597516064,61
1597516067,61
1597516070,61
1597516073,61
1597516076,61
1597516079,61
1597516082,61
1597516085,61
1597516088,61
1597516091,61
1597516094,61
1597516097,61
1597516100,61
1597516103,61
1597516106,61
1597516109,61
1597516112,61
1597516115,61
1597516118,61
1597516121,61
1597516124,61
1597516127,61
1597516130,61
1597516133,61
1597516136,61
1597516139,61
1597516142,61
1597516145,61
1597516148,61
1597516151,61
1597516154,61
1597516157,61
1597516160,61
1597516163,61
1597516166,61
1597516169,61
1597516172,61
1597516175,61
1597516178,61
1597516181,61
1597516184,61
1597516187,61
1597516190,61
1597516193,61
1597516196,61
1597516199,61
1597516202,61
1597516205,61
1597516208,61
1597516211,61
1597516214,61
1597516217,61
1597516220,61
1597516223,61
1597516226,61
1597516229,61
1597516232,61
1597516235,61
1597516238,61
1597516241,61
1597516244,61
1597516247,61
1597516250,61
1597516253,61
1597516256,61
1597516259,61
1597516262,61
1597516265,61
1597516268,61
1597516271,61
1597516274,61
1597516277,61
1597516280,61
1597516283,61
1597516286,61
1597516289,61
1597516292,61
1597516295,61
1597516298,61
1597516301,61
1597516304,61
1597516307,61
1597516310,61
1597516313,61
1597516316,61
1597516319,61
1597516322,61
1597516325,61
1597516328,61
1597516331,61
1597516334,61
1597516337,61
