t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1597515515,46,3.168699,0.000000,0.000000,0.000000,events/second
1597515518,46,2.713078,0.000000,0.000000,0.000000,events/second
1597515521,46,2.323783,0.000000,0.000000,0.000000,events/second
1597515524,46,2.015009,0.000000,0.000000,0.000000,events/second
1597515527,46,1.784582,0.000000,0.000000,0.000000,events/second
1597515530,46,1.600552,0.000000,0.000000,0.000000,events/second
1597515533,46,1.448410,0.000000,0.000000,0.000000,events/second
1597515536,46,1.322609,0.000000,0.000000,0.000000,events/second
1597515539,46,1.218368,0.000000,0.000000,0.000000,events/second
1597515542,46,1.128667,0.000000,0.000000,0.000000,events/second
1597515545,46,1.051538,0.000000,0.000000,0.000000,events/second
1597515548,46,0.983813,0.000000,0.000000,0.000000,events/second
1597515551,46,0.924922,0.000000,0.000000,0.000000,events/second
1597515554,46,0.872234,0.000000,0.000000,0.000000,events/second
1597515557,46,0.825202,0.000000,0.000000,0.000000,events/second
1597515560,46,0.783153,0.000000,0.000000,0.000000,events/second
1597515563,46,0.744590,0.000000,0.000000,0.000000,events/second
1597515566,46,0.710744,0.000000,0.000000,0.000000,events/second
1597515569,46,0.678944,0.000000,0.000000,0.000000,events/second
1597515572,46,0.650125,0.000000,0.000000,0.000000,events/second
1597515575,46,0.623602,0.000000,0.000000,0.000000,events/second
1597515578,46,0.599599,0.000000,0.000000,0.000000,events/second
1597515581,46,0.576747,0.000000,0.000000,0.000000,events/second
1597515584,46,0.555814,0.000000,0.000000,0.000000,events/second
1597515587,46,0.536277,0.000000,0.000000,0.000000,events/second
1597515590,46,0.517591,0.000000,0.000000,0.000000,events/second
1597515593,46,0.500401,0.000000,0.000000,0.000000,events/second
1597515596,46,0.485573,0.000000,0.000000,0.000000,events/second
1597515599,46,0.470594,0.000000,0.000000,0.000000,events/second
1597515602,46,0.456671,0.000000,0.000000,0.000000,events/second
1597515605,46,0.443467,0.000000,0.000000,0.000000,events/second
1597515608,46,0.430993,0.000000,0.000000,0.000000,events/second
1597515611,46,0.419041,0.000000,0.000000,0.000000,events/second
1597515614,46,0.408029,0.000000,0.000000,0.000000,events/second
1597515617,46,0.397172,0.000000,0.000000,0.000000,events/second
1597515620,46,0.387376,0.000000,0.000000,0.000000,events/second
1597515623,46,0.377907,0.000000,0.000000,0.000000,events/second
1597515626,46,0.368625,0.000000,0.000000,0.000000,events/second
1597515629,46,0.359960,0.000000,0.000000,0.000000,events/second
1597515632,46,0.351674,0.000000,0.000000,0.000000,events/second
1597515635,46,0.343767,0.000000,0.000000,0.000000,events/second
1597515638,46,0.335746,0.000000,0.000000,0.000000,events/second
1597515641,46,0.329134,0.000000,0.000000,0.000000,events/second
1597515644,46,0.322253,0.000000,0.000000,0.000000,events/second
1597515647,46,0.315115,0.000000,0.000000,0.000000,events/second
1597515650,46,0.309093,0.000000,0.000000,0.000000,events/second
1597515653,46,0.303132,0.000000,0.000000,0.000000,events/second
1597515656,46,0.297216,0.000000,0.000000,0.000000,events/second
1597515659,46,0.291592,0.000000,0.000000,0.000000,events/second
1597515662,46,0.286208,0.000000,0.000000,0.000000,events/second
1597515665,46,0.280901,0.000000,0.000000,0.000000,events/second
1597515668,46,0.275849,0.000000,0.000000,0.000000,events/second
1597515671,46,0.270981,0.000000,0.000000,0.000000,events/second
1597515674,46,0.266316,0.000000,0.000000,0.000000,events/second
1597515677,46,0.261754,0.000000,0.000000,0.000000,events/second
1597515680,46,0.257380,0.000000,0.000000,0.000000,events/second
1597515683,46,0.253125,0.000000,0.000000,0.000000,events/second
1597515686,46,0.248984,0.000000,0.000000,0.000000,events/second
1597515689,46,0.245034,0.000000,0.000000,0.000000,events/second
1597515692,46,0.241172,0.000000,0.000000,0.000000,events/second
1597515695,46,0.237431,0.000000,0.000000,0.000000,events/second
