t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1597515515,2,0.137658,0.000000,0.000000,0.000000,events/second
1597515518,2,0.117909,0.000000,0.000000,0.000000,events/second
1597515521,2,0.100998,0.000000,0.000000,0.000000,events/second
1597515524,2,0.087579,0.000000,0.000000,0.000000,events/second
1597515527,2,0.077569,0.000000,0.000000,0.000000,events/second
1597515530,2,0.069576,0.000000,0.000000,0.000000,events/second
1597515533,2,0.062963,0.000000,0.000000,0.000000,events/second
1597515536,2,0.057492,0.000000,0.000000,0.000000,events/second
1597515539,2,0.052965,0.000000,0.000000,0.000000,events/second
1597515542,2,0.049066,0.000000,0.000000,0.000000,events/second
1597515545,2,0.045713,0.000000,0.000000,0.000000,events/second
1597515548,2,0.042769,0.000000,0.000000,0.000000,events/second
1597515551,2,0.040210,0.000000,0.000000,0.000000,events/second
1597515554,2,0.037919,0.000000,0.000000,0.000000,events/second
1597515557,2,0.035875,0.000000,0.000000,0.000000,events/second
1597515560,2,0.034047,0.000000,0.000000,0.000000,events/second
1597515563,2,0.032370,0.000000,0.000000,0.000000,events/second
1597515566,2,0.030899,0.000000,0.000000,0.000000,events/second
1597515569,2,0.029517,0.000000,0.000000,0.000000,events/second
1597515572,2,0.028264,0.000000,0.000000,0.000000,events/second
1597515575,2,0.027111,0.000000,0.000000,0.000000,events/second
1597515578,2,0.026068,0.000000,0.000000,0.000000,events/second
1597515581,2,0.025074,0.000000,0.000000,0.000000,events/second
1597515584,2,0.024164,0.000000,0.000000,0.000000,events/second
1597515587,2,0.023315,0.000000,0.000000,0.000000,events/second
1597515590,2,0.022502,0.000000,0.000000,0.000000,events/second
1597515593,2,0.021755,0.000000,0.000000,0.000000,events/second
1597515596,2,0.021111,0.000000,0.000000,0.000000,events/second
1597515599,2,0.020459,0.000000,0.000000,0.000000,events/second
1597515602,2,0.019854,0.000000,0.000000,0.000000,events/second
1597515605,2,0.019280,0.000000,0.000000,0.000000,events/second
