t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1597515515,1,0.068824,0.000000,0.000000,0.000000,events/second
1597515518,1,0.058959,0.000000,0.000000,0.000000,events/second
1597515521,1,0.050503,0.000000,0.000000,0.000000,events/second
1597515524,1,0.043792,0.000000,0.000000,0.000000,events/second
1597515527,1,0.038787,0.000000,0.000000,0.000000,events/second
1597515530,1,0.034791,0.000000,0.000000,0.000000,events/second
1597515533,1,0.031484,0.000000,0.000000,0.000000,events/second
1597515536,1,0.028747,0.000000,0.000000,0.000000,events/second
1597515539,1,0.026484,0.000000,0.000000,0.000000,events/second
1597515542,1,0.024534,0.000000,0.000000,0.000000,events/second
1597515545,1,0.022858,0.000000,0.000000,0.000000,events/second
1597515548,1,0.021386,0.000000,0.000000,0.000000,events/second
1597515551,1,0.020106,0.000000,0.000000,0.000000,events/second
1597515554,1,0.018960,0.000000,0.000000,0.000000,events/second
1597515557,1,0.017938,0.000000,0.000000,0.000000,events/second
1597515560,1,0.017024,0.000000,0.000000,0.000000,events/second
1597515563,1,0.016186,0.000000,0.000000,0.000000,events/second
1597515566,1,0.015450,0.000000,0.000000,0.000000,events/second
1597515569,1,0.014759,0.000000,0.000000,0.000000,events/second
1597515572,1,0.014132,0.000000,0.000000,0.000000,events/second
1597515575,1,0.013556,0.000000,0.000000,0.000000,events/second
1597515578,1,0.013034,0.000000,0.000000,0.000000,events/second
1597515581,1,0.012537,0.000000,0.000000,0.000000,events/second
1597515584,1,0.012082,0.000000,0.000000,0.000000,events/second
1597515587,1,0.011658,0.000000,0.000000,0.000000,events/second
1597515590,1,0.011251,0.000000,0.000000,0.000000,events/second
1597515593,1,0.010878,0.000000,0.000000,0.000000,events/second
1597515596,1,0.010556,0.000000,0.000000,0.000000,events/second
1597515599,1,0.010230,0.000000,0.000000,0.000000,events/second
1597515602,1,0.009927,0.000000,0.000000,0.000000,events/second
1597515605,1,0.009640,0.000000,0.000000,0.000000,events/second
1597515608,1,0.009369,0.000000,0.000000,0.000000,events/second
1597515611,1,0.009109,0.000000,0.000000,0.000000,events/second
1597515614,1,0.008870,0.000000,0.000000,0.000000,events/second
1597515617,1,0.008634,0.000000,0.000000,0.000000,events/second
1597515620,1,0.008421,0.000000,0.000000,0.000000,events/second
1597515623,1,0.008215,0.000000,0.000000,0.000000,events/second
1597515626,1,0.008013,0.000000,0.000000,0.000000,events/second
1597515629,1,0.007825,0.000000,0.000000,0.000000,events/second
1597515632,1,0.007645,0.000000,0.000000,0.000000,events/second
1597515635,1,0.007473,0.000000,0.000000,0.000000,events/second
1597515638,1,0.007299,0.000000,0.000000,0.000000,events/second
1597515641,1,0.007155,0.000000,0.000000,0.000000,events/second
1597515644,1,0.007005,0.000000,0.000000,0.000000,events/second
1597515647,1,0.006850,0.000000,0.000000,0.000000,events/second
1597515650,2,0.013438,0.000000,0.000000,0.000000,events/second
1597515653,2,0.013179,0.000000,0.000000,0.000000,events/second
1597515656,3,0.019383,0.000000,0.000000,0.000000,events/second
1597515659,3,0.019016,0.000000,0.000000,0.000000,events/second
1597515662,3,0.018665,0.000000,0.000000,0.000000,events/second
1597515665,3,0.018319,0.000000,0.000000,0.000000,events/second
1597515668,3,0.017990,0.000000,0.000000,0.000000,events/second
1597515671,3,0.017672,0.000000,0.000000,0.000000,events/second
1597515674,3,0.017368,0.000000,0.000000,0.000000,events/second
1597515677,3,0.017070,0.000000,0.000000,0.000000,events/second
1597515680,3,0.016785,0.000000,0.000000,0.000000,events/second
1597515683,3,0.016508,0.000000,0.000000,0.000000,events/second
1597515686,3,0.016238,0.000000,0.000000,0.000000,events/second
1597515689,3,0.015980,0.000000,0.000000,0.000000,events/second
1597515692,3,0.015728,0.000000,0.000000,0.000000,events/second
1597515695,3,0.015484,0.000000,0.000000,0.000000,events/second
1597515698,3,0.015250,0.000000,0.000000,0.000000,events/second
1597515701,3,0.015020,0.000000,0.000000,0.000000,events/second
1597515704,3,0.014798,0.000000,0.000000,0.000000,events/second
1597515707,3,0.014582,0.000000,0.000000,0.000000,events/second
1597515710,3,0.014361,0.000000,0.000000,0.000000,events/second
1597515713,3,0.014169,0.000000,0.000000,0.000000,events/second
1597515716,3,0.013972,0.000000,0.000000,0.000000,events/second
1597515719,3,0.013778,0.000000,0.000000,0.000000,events/second
1597515722,3,0.013592,0.000000,0.000000,0.000000,events/second
1597515725,3,0.013409,0.000000,0.000000,0.000000,events/second
1597515728,3,0.013229,0.000000,0.000000,0.000000,events/second
1597515731,3,0.013058,0.000000,0.000000,0.000000,events/second
1597515734,3,0.012891,0.000000,0.000000,0.000000,events/second
1597515737,3,0.012727,0.000000,0.000000,0.000000,events/second
1597515740,3,0.012566,0.000000,0.000000,0.000000,events/second
1597515743,3,0.012405,0.000000,0.000000,0.000000,events/second
1597515746,3,0.012258,0.000000,0.000000,0.000000,events/second
1597515749,3,0.012107,0.000000,0.000000,0.000000,events/second
1597515752,3,0.011965,0.000000,0.000000,0.000000,events/second
1597515755,3,0.011823,0.000000,0.000000,0.000000,events/second
1597515758,3,0.011685,0.000000,0.000000,0.000000,events/second
1597515761,3,0.011548,0.000000,0.000000,0.000000,events/second
1597515764,3,0.011415,0.000000,0.000000,0.000000,events/second
1597515767,3,0.011285,0.000000,0.000000,0.000000,events/second
1597515770,3,0.011157,0.000000,0.000000,0.000000,events/second
1597515773,3,0.011036,0.000000,0.000000,0.000000,events/second
1597515776,3,0.010920,0.000000,0.000000,0.000000,events/second
1597515779,3,0.010802,0.000000,0.000000,0.000000,events/second
