t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1597515515,141,9.694509,0.000000,0.000000,0.000000,events/second
1597515518,141,8.309795,0.000000,0.000000,0.000000,events/second
1597515521,144,7.269953,0.000000,0.000000,0.000000,events/second
1597515524,144,6.304212,0.000000,0.000000,0.000000,events/second
1597515527,144,5.583866,0.000000,0.000000,0.000000,events/second
1597515530,144,5.009044,0.000000,0.000000,0.000000,events/second
1597515533,144,4.532982,0.000000,0.000000,0.000000,events/second
1597515536,144,4.138711,0.000000,0.000000,0.000000,events/second
1597515539,144,3.813249,0.000000,0.000000,0.000000,events/second
1597515542,144,3.532553,0.000000,0.000000,0.000000,events/second
1597515545,144,3.291186,0.000000,0.000000,0.000000,events/second
1597515548,144,3.079233,0.000000,0.000000,0.000000,events/second
1597515551,144,2.894956,0.000000,0.000000,0.000000,events/second
1597515554,144,2.730077,0.000000,0.000000,0.000000,events/second
1597515557,144,2.582815,0.000000,0.000000,0.000000,events/second
1597515560,144,2.451293,0.000000,0.000000,0.000000,events/second
1597515563,144,2.330539,0.000000,0.000000,0.000000,events/second
1597515566,144,2.224675,0.000000,0.000000,0.000000,events/second
1597515569,144,2.125077,0.000000,0.000000,0.000000,events/second
1597515572,144,2.034913,0.000000,0.000000,0.000000,events/second
1597515575,144,1.951935,0.000000,0.000000,0.000000,events/second
1597515578,144,1.876814,0.000000,0.000000,0.000000,events/second
1597515581,144,1.805282,0.000000,0.000000,0.000000,events/second
1597515584,144,1.739769,0.000000,0.000000,0.000000,events/second
1597515587,144,1.678576,0.000000,0.000000,0.000000,events/second
1597515590,144,1.620084,0.000000,0.000000,0.000000,events/second
1597515593,144,1.566201,0.000000,0.000000,0.000000,events/second
1597515596,144,1.519926,0.000000,0.000000,0.000000,events/second
1597515599,144,1.473047,0.000000,0.000000,0.000000,events/second
1597515602,144,1.429469,0.000000,0.000000,0.000000,events/second
1597515605,144,1.388145,0.000000,0.000000,0.000000,events/second
1597515608,144,1.349098,0.000000,0.000000,0.000000,events/second
1597515611,144,1.311686,0.000000,0.000000,0.000000,events/second
1597515614,144,1.277222,0.000000,0.000000,0.000000,events/second
1597515617,144,1.243235,0.000000,0.000000,0.000000,events/second
1597515620,144,1.212577,0.000000,0.000000,0.000000,events/second
1597515623,144,1.182939,0.000000,0.000000,0.000000,events/second
1597515626,144,1.153879,0.000000,0.000000,0.000000,events/second
1597515629,144,1.126747,0.000000,0.000000,0.000000,events/second
1597515632,144,1.100822,0.000000,0.000000,0.000000,events/second
1597515635,144,1.076056,0.000000,0.000000,0.000000,events/second
1597515638,144,1.050910,0.000000,0.000000,0.000000,events/second
1597515641,144,1.030255,0.000000,0.000000,0.000000,events/second
1597515644,144,1.008719,0.000000,0.000000,0.000000,events/second
1597515647,145,0.992868,0.000000,0.000000,0.000000,events/second
1597515650,168,1.128784,0.000000,0.000000,0.000000,events/second
1597515653,170,1.120184,0.000000,0.000000,0.000000,events/second
1597515656,175,1.130651,0.000000,0.000000,0.000000,events/second
1597515659,175,1.109243,0.000000,0.000000,0.000000,events/second
1597515662,175,1.088781,0.000000,0.000000,0.000000,events/second
1597515665,175,1.068594,0.000000,0.000000,0.000000,events/second
1597515668,175,1.049374,0.000000,0.000000,0.000000,events/second
1597515671,175,1.030858,0.000000,0.000000,0.000000,events/second
1597515674,175,1.013113,0.000000,0.000000,0.000000,events/second
1597515677,175,0.995753,0.000000,0.000000,0.000000,events/second
1597515680,175,0.979121,0.000000,0.000000,0.000000,events/second
1597515683,175,0.962935,0.000000,0.000000,0.000000,events/second
1597515686,175,0.947179,0.000000,0.000000,0.000000,events/second
1597515689,175,0.932158,0.000000,0.000000,0.000000,events/second
1597515692,175,0.917464,0.000000,0.000000,0.000000,events/second
1597515695,175,0.903227,0.000000,0.000000,0.000000,events/second
1597515698,175,0.889589,0.000000,0.000000,0.000000,events/second
1597515701,175,0.876164,0.000000,0.000000,0.000000,events/second
1597515704,175,0.863174,0.000000,0.000000,0.000000,events/second
1597515707,175,0.850618,0.000000,0.000000,0.000000,events/second
1597515710,185,0.885582,0.000000,0.000000,0.000000,events/second
1597515713,187,0.883166,0.000000,0.000000,0.000000,events/second
1597515716,187,0.870889,0.000000,0.000000,0.000000,events/second
1597515719,187,0.858781,0.000000,0.000000,0.000000,events/second
1597515722,187,0.847206,0.000000,0.000000,0.000000,events/second
1597515725,187,0.835797,0.000000,0.000000,0.000000,events/second
1597515728,188,0.828996,0.000000,0.000000,0.000000,events/second
1597515731,190,0.826989,0.000000,0.000000,0.000000,events/second
1597515734,190,0.816391,0.000000,0.000000,0.000000,events/second
1597515737,190,0.806018,0.000000,0.000000,0.000000,events/second
1597515740,190,0.795842,0.000000,0.000000,0.000000,events/second
1597515743,190,0.785604,0.000000,0.000000,0.000000,events/second
1597515746,194,0.792643,0.000000,0.000000,0.000000,events/second
1597515749,195,0.786913,0.000000,0.000000,0.000000,events/second
1597515752,196,0.781670,0.000000,0.000000,0.000000,events/second
1597515755,198,0.780284,0.000000,0.000000,0.000000,events/second
1597515758,201,0.782888,0.000000,0.000000,0.000000,events/second
1597515761,201,0.773673,0.000000,0.000000,0.000000,events/second
