t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1597515515,11,2.851137,0.000000,0.000000,0.000000,events/second
1597515518,11,1.755280,0.000000,0.000000,0.000000,events/second
1597515521,11,1.207825,0.000000,0.000000,0.000000,events/second
1597515524,12,0.988357,0.000000,0.000000,0.000000,events/second
1597515527,12,0.795310,0.000000,0.000000,0.000000,events/second
1597515530,12,0.665025,0.000000,0.000000,0.000000,events/second
1597515533,12,0.569689,0.000000,0.000000,0.000000,events/second
1597515536,12,0.498045,0.000000,0.000000,0.000000,events/second
1597515539,12,0.443471,0.000000,0.000000,0.000000,events/second
1597515542,12,0.399202,0.000000,0.000000,0.000000,events/second
1597515545,12,0.363091,0.000000,0.000000,0.000000,events/second
1597515548,12,0.332765,0.000000,0.000000,0.000000,events/second
1597515551,12,0.307393,0.000000,0.000000,0.000000,events/second
1597515554,12,0.285429,0.000000,0.000000,0.000000,events/second
1597515557,12,0.266371,0.000000,0.000000,0.000000,events/second
1597515560,12,0.249786,0.000000,0.000000,0.000000,events/second
1597515563,12,0.234901,0.000000,0.000000,0.000000,events/second
1597515566,12,0.222120,0.000000,0.000000,0.000000,events/second
1597515569,12,0.210303,0.000000,0.000000,0.000000,events/second
1597515572,12,0.199794,0.000000,0.000000,0.000000,events/second
1597515575,12,0.190267,0.000000,0.000000,0.000000,events/second
1597515578,12,0.181757,0.000000,0.000000,0.000000,events/second
1597515581,12,0.173756,0.000000,0.000000,0.000000,events/second
1597515584,12,0.166514,0.000000,0.000000,0.000000,events/second
1597515587,12,0.159816,0.000000,0.000000,0.000000,events/second
1597515590,12,0.153479,0.000000,0.000000,0.000000,events/second
1597515593,12,0.147700,0.000000,0.000000,0.000000,events/second
1597515596,12,0.142793,0.000000,0.000000,0.000000,events/second
1597515599,12,0.137847,0.000000,0.000000,0.000000,events/second
1597515602,12,0.133284,0.000000,0.000000,0.000000,events/second
1597515605,12,0.128988,0.000000,0.000000,0.000000,events/second
1597515608,12,0.124954,0.000000,0.000000,0.000000,events/second
1597515611,12,0.121114,0.000000,0.000000,0.000000,events/second
1597515614,12,0.117600,0.000000,0.000000,0.000000,events/second
1597515617,12,0.114151,0.000000,0.000000,0.000000,events/second
1597515620,12,0.111057,0.000000,0.000000,0.000000,events/second
1597515623,12,0.108082,0.000000,0.000000,0.000000,events/second
1597515626,12,0.105176,0.000000,0.000000,0.000000,events/second
1597515629,12,0.102478,0.000000,0.000000,0.000000,events/second
1597515632,12,0.099910,0.000000,0.000000,0.000000,events/second
