t,value
1597515515,1073741824
1597515518,1073741824
1597515521,1073741824
1597515524,1073741824
1597515527,1073741824
1597515530,1073741824
1597515533,1073741824
1597515536,1073741824
1597515539,1073741824
1597515542,1073741824
1597515545,1073741824
1597515548,1073741824
1597515551,1073741824
1597515554,1073741824
1597515557,1073741824
1597515560,1073741824
1597515563,1073741824
1597515566,1073741824
1597515569,1073741824
1597515572,1073741824
1597515575,1073741824
1597515578,1073741824
1597515581,1073741824
1597515584,1073741824
1597515587,1073741824
1597515590,1073741824
1597515593,1073741824
1597515596,1073741824
1597515599,1073741824
1597515602,1073741824
1597515605,1073741824
1597515608,1073741824
1597515611,1073741824
1597515614,1073741824
1597515617,1073741824
1597515620,1073741824
1597515623,1073741824
1597515626,1073741824
1597515629,1073741824
1597515632,1073741824
1597515635,1073741824
1597515638,1073741824
1597515641,1073741824
1597515644,1073741824
1597515647,1073741824
1597515650,1073741824
1597515653,1073741824
1597515656,1073741824
1597515659,1073741824
1597515662,1073741824
1597515665,1073741824
1597515668,1073741824
1597515671,1073741824
1597515674,1073741824
1597515677,1073741824
1597515680,1073741824
1597515683,1073741824
1597515686,1073741824
1597515689,1073741824
1597515692,1073741824
1597515695,1073741824
1597515698,1073741824
1597515701,1073741824
1597515704,1073741824
1597515707,1073741824
1597515710,1073741824
1597515713,1073741824
1597515716,1073741824
1597515719,1073741824
1597515722,1073741824
1597515725,1073741824
1597515728,1073741824
1597515731,1073741824
1597515734,1073741824
1597515737,1073741824
1597515740,1073741824
1597515743,1073741824
1597515746,1073741824
1597515749,1073741824
1597515752,1073741824
1597515755,1073741824
1597515758,1073741824
1597515761,1073741824
1597515764,1073741824
1597515767,1073741824
1597515770,1073741824
1597515773,1073741824
1597515776,1073741824
1597515779,1073741824
1597515782,1073741824
1597515785,1073741824
1597515788,1073741824
1597515791,1073741824
1597515794,1073741824
1597515797,1073741824
1597515800,1073741824
1597515803,1073741824
1597515806,1073741824
1597515809,1073741824
1597515812,1073741824
1597515815,1073741824
1597515818,1073741824
1597515821,1073741824
1597515824,1073741824
1597515827,1073741824
1597515830,1073741824
1597515833,1073741824
1597515836,1073741824
1597515839,1073741824
1597515842,1073741824
1597515845,1073741824
1597515848,1073741824
1597515851,1073741824
1597515854,1073741824
1597515857,1073741824
1597515860,1073741824
1597515863,1073741824
1597515866,1073741824
1597515869,1073741824
1597515872,1073741824
1597515875,1073741824
1597515878,1073741824
1597515881,1073741824
1597515884,1073741824
1597515887,1073741824
1597515890,1073741824
1597515893,1073741824
1597515896,1073741824
1597515899,1073741824
1597515902,1073741824
1597515905,1073741824
1597515908,1073741824
1597515911,1073741824
1597515914,1073741824
1597515917,1073741824
1597515920,1073741824
1597515923,1073741824
1597515926,1073741824
1597515929,1073741824
1597515932,1073741824
1597515935,1073741824
1597515938,1073741824
