t,value
1597515515,79865344
1597515518,120759808
1597515521,195208704
1597515524,89766912
1597515527,139049984
1597515530,140098560
1597515533,141147136
1597515536,141147136
1597515539,142195712
1597515542,143244288
1597515545,144292864
1597515548,145341440
1597515551,146390016
1597515554,147438592
1597515557,148487168
1597515560,149535744
1597515563,160021504
1597515566,161070080
1597515569,162118656
1597515572,170507264
1597515575,171555840
1597515578,172604416
1597515581,173652992
1597515584,174701568
1597515587,175750144
1597515590,175750144
1597515593,176798720
1597515596,177847296
1597515599,178895872
1597515602,178895872
1597515605,179944448
1597515608,180993024
1597515611,182041600
1597515614,183090176
1597515617,183090176
1597515620,184138752
1597515623,192527360
1597515626,193575936
1597515629,194624512
1597515632,201964544
1597515635,203013120
1597515638,204061696
1597515641,204061696
1597515644,205110272
1597515647,221887488
1597515650,262781952
1597515653,63604736
1597515656,109742080
1597515659,128616448
1597515662,140150784
1597515665,141199360
1597515668,142247936
1597515671,142247936
1597515674,143296512
1597515677,148539392
1597515680,149587968
1597515683,159025152
1597515686,160073728
1597515689,161122304
1597515692,168462336
1597515695,169510912
1597515698,170559488
1597515701,171608064
1597515704,172656640
1597515707,173705216
1597515710,220891136
1597515713,225085440
1597515716,225085440
1597515719,226134016
1597515722,227182592
1597515725,228231168
1597515728,231376896
1597515731,232425472
1597515734,233474048
1597515737,233474048
1597515740,234522624
1597515743,257591296
1597515746,304777216
1597515749,311068672
1597515752,320505856
1597515755,82602496
1597515758,109865472
1597515761,149711360
1597515764,235694592
1597515767,341600768
1597515770,108816896
1597515773,167537152
1597515776,260860416
1597515779,261908992
1597515782,262957568
1597515785,264006144
1597515788,265054720
1597515791,268200448
1597515794,269249024
1597515797,269249024
1597515800,270297600
1597515803,279734784
1597515806,280783360
1597515809,281831936
1597515812,294414848
1597515815,294414848
1597515818,295463424
1597515821,296512000
1597515824,297560576
1597515827,298609152
1597515830,301754880
1597515833,302803456
1597515836,302803456
1597515839,303852032
1597515842,304900608
1597515845,305949184
1597515848,305949184
1597515851,310143488
1597515854,310143488
1597515857,311192064
1597515860,312240640
1597515863,320629248
1597515866,321677824
1597515869,322726400
1597515872,332163584
1597515875,332163584
1597515878,333212160
1597515881,334260736
1597515884,335309312
1597515887,335309312
1597515890,336357888
1597515893,337406464
1597515896,338455040
1597515899,338455040
1597515902,339503616
1597515905,340552192
1597515908,341600768
1597515911,342649344
1597515914,342649344
1597515917,343697920
1597515920,344746496
1597515923,353135104
1597515926,354183680
1597515929,355232256
1597515932,364669440
1597515935,365718016
1597515938,366766592
1597515941,366766592
1597515944,367815168
1597515947,368863744
1597515950,368863744
1597515953,369912320
1597515956,370960896
1597515959,372009472
1597515962,372009472
1597515965,373058048
1597515968,374106624
1597515971,375155200
1597515974,376203776
1597515977,378300928
1597515980,379349504
1597515983,387738112
1597515986,388786688
1597515989,389835264
1597515992,101136896
1597515995,154614272
1597515998,157760000
1597516001,183974400
1597516004,191314432
1597516007,193411584
1597516010,204945920
1597516013,205994496
1597516016,207043072
1597516019,208091648
1597516022,208091648
1597516025,209140224
1597516028,210188800
1597516031,211237376
1597516034,211237376
1597516037,212285952
1597516040,213334528
1597516043,222771712
1597516046,223820288
1597516049,224868864
1597516052,235354624
1597516055,235354624
1597516058,236403200
1597516061,237451776
1597516064,237451776
1597516067,239548928
1597516070,239548928
1597516073,240597504
1597516076,241646080
1597516079,241646080
1597516082,242694656
1597516085,243743232
1597516088,244791808
1597516091,244791808
1597516094,245840384
1597516097,246888960
1597516100,247937536
1597516103,257374720
1597516106,257374720
1597516109,258423296
1597516112,267860480
1597516115,269957632
1597516118,269957632
1597516121,271006208
1597516124,272054784
1597516127,273103360
1597516130,273103360
1597516133,274151936
1597516136,275200512
1597516139,276249088
1597516142,276249088
1597516145,277297664
1597516148,279394816
1597516151,279394816
1597516154,280443392
1597516157,281491968
1597516160,281491968
1597516163,290929152
1597516166,290929152
1597516169,291977728
1597516172,302463488
1597516175,303512064
1597516178,303512064
1597516181,304560640
1597516184,305609216
1597516187,306657792
1597516190,306657792
1597516193,307706368
1597516196,308754944
1597516199,309803520
1597516202,309803520
1597516205,310852096
1597516208,311900672
1597516211,312949248
1597516214,312949248
1597516217,313997824
1597516220,315046400
1597516223,324483584
1597516226,325532160
1597516229,326580736
1597516232,336017920
1597516235,336017920
1597516238,337066496
1597516241,338115072
1597516244,339163648
1597516247,340212224
1597516250,340212224
1597516253,341260800
1597516256,342309376
1597516259,343357952
1597516262,344406528
1597516265,345455104
1597516268,345455104
1597516271,346503680
1597516274,347552256
1597516277,347552256
1597516280,348600832
1597516283,358038016
1597516286,359086592
1597516289,359086592
1597516292,368523776
1597516295,369572352
1597516298,369572352
1597516301,370620928
1597516304,371669504
1597516307,372718080
1597516310,372718080
1597516313,373766656
1597516316,374815232
1597516319,375863808
1597516322,376912384
1597516325,376912384
1597516328,377960960
1597516331,379009536
1597516334,380058112
1597516337,72301056
1597516340,73349632
1597516343,81738240
1597516346,82786816
1597516349,83835392
1597516352,93272576
1597516355,94321152
1597516358,95369728
1597516361,96418304
1597516364,96418304
1597516367,97466880
1597516370,98515456
1597516373,99564032
1597516376,100612608
1597516379,100612608
1597516382,101661184
1597516385,102709760
1597516388,103758336
1597516391,104806912
1597516394,104806912
1597516397,105855488
1597516400,106904064
1597516403,115292672
1597516406,117389824
1597516409,117389824
1597516412,126827008
1597516415,127875584
1597516418,128924160
1597516421,129972736
1597516424,129972736
1597516427,131021312
1597516430,132069888
1597516433,133118464
1597516436,134167040
1597516439,134167040
1597516442,197081600
1597516445,198130176
1597516448,239024640
1597516451,240073216
1597516454,240073216
1597516457,241121792
1597516460,242170368
1597516463,251607552
1597516466,251607552
1597516469,252656128
1597516472,262093312
1597516475,263141888
1597516478,264190464
1597516481,265239040
1597516484,265239040
1597516487,266287616
1597516490,267336192
1597516493,268384768
1597516496,269433344
1597516499,269433344
1597516502,270481920
1597516505,271530496
1597516508,272579072
1597516511,272579072
1597516514,273627648
1597516517,274676224
1597516520,275724800
1597516523,284113408
1597516526,285161984
1597516529,286210560
1597516532,295647744
1597516535,296696320
1597516538,296696320
1597516541,297744896
1597516544,298793472
1597516547,299842048
1597516550,299842048
1597516553,300890624
1597516556,301939200
1597516559,302987776
1597516562,304036352
1597516565,304036352
1597516568,305084928
1597516571,306133504
1597516574,311376384
1597516577,318716416
1597516580,319764992
1597516583,329202176
1597516586,330250752
1597516589,330250752
1597516592,340736512
1597516595,340736512
1597516598,341785088
1597516601,342833664
1597516604,342833664
1597516607,343882240
1597516610,344930816
1597516613,345979392
1597516616,347027968
1597516619,347027968
1597516622,348076544
1597516625,349125120
1597516628,350173696
1597516631,351222272
1597516634,351222272
1597516637,352270848
1597516640,353319424
1597516643,362756608
1597516646,363805184
1597516649,364853760
1597516652,374290944
1597516655,375339520
1597516658,375339520
1597516661,376388096
1597516664,377436672
1597516667,378485248
1597516670,378485248
1597516673,379533824
1597516676,380582400
1597516679,73345136
1597516682,74393712
1597516685,75442288
1597516688,76490864
1597516691,77539440
1597516694,78588016
1597516697,79636592
1597516700,79636592
1597516703,89073776
1597516706,90122352
1597516709,91170928
1597516712,100608112
1597516715,101656688
1597516718,102705264
1597516721,103753840
1597516724,103753840
1597516727,104802416
1597516730,105850992
1597516733,105850992
1597516736,106899568
1597516739,107948144
1597516742,110045296
1597516745,111093872
1597516748,112142448
1597516751,113191024
1597516754,113191024
1597516757,114239600
1597516760,115288176
1597516763,123676784
1597516766,124725360
1597516769,125773936
1597516772,136259696
1597516775,136259696
1597516778,137308272
1597516781,138356848
1597516784,139405424
1597516787,139405424
1597516790,140454000
1597516793,141502576
1597516796,142551152
1597516799,143599728
1597516802,143599728
1597516805,144648304
1597516808,145696880
1597516811,145696880
1597516814,146745456
1597516817,147794032
1597516820,148842608
1597516823,158279792
1597516826,159328368
1597516829,159328368
1597516832,168765552
1597516835,169814128
1597516838,170862704
1597516841,171911280
1597516844,171911280
1597516847,172959856
1597516850,174008432
1597516853,174008432
1597516856,175057008
1597516859,176105584
1597516862,177154160
1597516865,178202736
1597516868,178202736
1597516871,179251312
1597516874,180299888
1597516877,181348464
1597516880,181348464
1597516883,201271408
1597516886,202319984
1597516889,203368560
1597516892,212805744
1597516895,212805744
1597516898,213854320
1597516901,214902896
1597516904,215951472
1597516907,217000048
1597516910,218048624
1597516913,218048624
1597516916,219097200
1597516919,220145776
1597516922,220145776
1597516925,221194352
1597516928,222242928
1597516931,223291504
1597516934,224340080
1597516937,225388656
1597516940,225388656
1597516943,234825840
1597516946,235874416
1597516949,236922992
1597516952,246360176
1597516955,247408752
1597516958,248457328
1597516961,248457328
1597516964,249505904
1597516967,250554480
1597516970,251603056
1597516973,252651632
1597516976,252651632
1597516979,253700208
1597516982,254748784
1597516985,254748784
1597516988,255797360
1597516991,256845936
1597516994,257894512
1597516997,257894512
1597517000,258943088
1597517003,268380272
1597517006,268380272
1597517009,269428848
1597517012,278866032
1597517015,279914608
1597517018,280963184
1597517021,282011760
1597517024,282011760
1597517027,283060336
1597517030,284108912
1597517033,285157488
1597517036,286206064
1597517039,286206064
1597517042,287254640
1597517045,288303216
1597517048,289351792
1597517051,289351792
1597517054,290400368
1597517057,291448944
1597517060,292497520
1597517063,300886128
1597517066,301934704
1597517069,302983280
1597517072,312420464
1597517075,313469040
1597517078,314517616
1597517081,315566192
1597517084,315566192
1597517087,316614768
1597517090,317663344
1597517093,317663344
1597517096,318711920
1597517099,319760496
1597517102,320809072
1597517105,320809072
1597517108,321857648
1597517111,322906224
1597517114,323954800
1597517117,325003376
1597517120,326051952
1597517123,334440560
1597517126,335489136
1597517129,336537712
1597517132,345974896
1597517135,345974896
1597517138,347023472
1597517141,348072048
1597517144,349120624
1597517147,350169200
1597517150,350169200
1597517153,351217776
1597517156,352266352
1597517159,353314928
1597517162,354363504
1597517165,355412080
1597517168,355412080
1597517171,356460656
1597517174,357509232
1597517177,358557808
1597517180,358557808
1597517183,367994992
1597517186,369043568
1597517189,370092144
1597517192,379529328
1597517195,379529328
1597517198,380577904
1597517201,73873920
1597517204,74922496
1597517207,75971072
1597517210,77019648
1597517213,78068224
1597517216,78068224
1597517219,79116800
1597517222,80165376
1597517225,81213952
1597517228,82262528
1597517231,83311104
1597517234,83311104
1597517237,84359680
1597517240,85408256
1597517243,93796864
1597517246,94845440
1597517249,95894016
1597517252,105331200
1597517255,106379776
1597517258,107428352
1597517261,108476928
1597517264,109525504
1597517267,110574080
1597517270,110574080
1597517273,111622656
1597517276,112671232
1597517279,113719808
1597517282,113719808
1597517285,114768384
1597517288,115816960
1597517291,116865536
1597517294,117914112
1597517297,117914112
1597517300,118962688
1597517303,127351296
1597517306,128399872
1597517309,129448448
1597517312,138885632
1597517315,139934208
1597517318,140982784
1597517321,142031360
1597517324,143079936
1597517327,143079936
1597517330,144128512
1597517333,145177088
1597517336,146225664
1597517339,146225664
1597517342,148322816
1597517345,148322816
1597517348,149371392
1597517351,150419968
1597517354,151468544
1597517357,151468544
1597517360,152517120
1597517363,161954304
1597517366,161954304
1597517369,163002880
1597517372,173488640
1597517375,173488640
1597517378,174537216
1597517381,175585792
1597517384,176634368
1597517387,177682944
1597517390,177682944
1597517393,178731520
1597517396,179780096
1597517399,180828672
1597517402,180828672
1597517405,181877248
1597517408,182925824
1597517411,183974400
1597517414,183974400
1597517417,185022976
1597517420,186071552
1597517423,195508736
1597517426,196557312
1597517429,197605888
1597517432,205994496
1597517435,207043072
1597517438,208091648
1597517441,209140224
1597517444,209140224
1597517447,210188800
1597517450,211237376
1597517453,212285952
1597517456,213334528
1597517459,214383104
1597517462,214383104
1597517465,215431680
1597517468,216480256
1597517471,217528832
1597517474,217528832
1597517477,218577408
1597517480,219625984
1597517483,229063168
1597517486,229063168
1597517489,230111744
1597517492,239548928
1597517495,240597504
1597517498,241646080
1597517501,242694656
1597517504,243743232
1597517507,244791808
1597517510,244791808
1597517513,245840384
1597517516,246888960
1597517519,246888960
1597517522,247937536
1597517525,248986112
1597517528,250034688
1597517531,250034688
1597517534,252131840
1597517537,252131840
1597517540,253180416
1597517543,262617600
1597517546,262617600
1597517549,263666176
1597517552,273103360
1597517555,274151936
1597517558,275200512
1597517561,275200512
1597517564,276249088
1597517567,277297664
1597517570,278346240
1597517573,279394816
1597517576,279394816
1597517579,280443392
1597517582,281491968
1597517585,282540544
1597517588,285686272
1597517591,309803520
1597517594,310852096
1597517597,345455104
1597517600,348600832
1597517603,358038016
1597517606,377960960
1597517609,77019648
1597517612,88553984
1597517615,148322816
1597517618,151468544
1597517621,152517120
1597517624,153565696
1597517627,153565696
1597517630,154614272
1597517633,156711424
1597517636,261569024
1597517639,262617600
1597517642,263666176
1597517645,263666176
1597517648,264714752
1597517651,265763328
1597517654,266811904
1597517657,267860480
1597517660,268909056
1597517663,278346240
1597517666,282540544
1597517669,282540544
1597517672,293026304
1597517675,293026304
1597517678,294074880
1597517681,295123456
1597517684,296172032
1597517687,296172032
1597517690,297220608
1597517693,298269184
1597517696,299317760
1597517699,300366336
1597517702,300366336
1597517705,301414912
1597517708,302463488
1597517711,303512064
1597517714,304560640
1597517717,305609216
1597517720,305609216
1597517723,315046400
1597517726,323435008
1597517729,332872192
1597517732,342309376
1597517735,344406528
1597517738,345455104
1597517741,350697984
1597517744,350697984
1597517747,352795136
1597517750,354892288
1597517753,355940864
1597517756,358038016
1597517759,360135168
1597517762,363280896
1597517765,368523776
1597517768,370620928
1597517771,371669504
1597517774,372718080
1597517777,373766656
1597517780,380058112
1597517783,86456832
1597517786,86456832
1597517789,87505408
1597517792,96942592
1597517795,97991168
1597517798,99039744
1597517801,158808576
1597517804,212285952
1597517807,215431680
1597517810,217528832
1597517813,221723136
1597517816,222771712
1597517819,224868864
1597517822,226966016
1597517825,229063168
1597517828,232208896
1597517831,279394816
1597517834,296172032
1597517837,297220608
1597517840,297220608
1597517843,306657792
1597517846,307706368
1597517849,313997824
1597517852,326580736
1597517855,329726464
1597517858,336017920
1597517861,338115072
1597517864,341260800
1597517867,344406528
1597517870,348600832
1597517873,351746560
1597517876,352795136
1597517879,355940864
1597517882,359086592
1597517885,359086592
1597517888,361183744
1597517891,361183744
1597517894,365378048
1597517897,368523776
1597517900,370620928
1597517903,380058112
1597517906,80165376
1597517909,82262528
1597517912,94845440
1597517915,96942592
1597517918,106379776
1597517921,109525504
1597517924,109525504
1597517927,110574080
1597517930,112671232
1597517933,117914112
1597517936,121059840
1597517939,121059840
1597517942,125254144
1597517945,128399872
1597517948,130497024
1597517951,131545600
1597517954,132594176
1597517957,133642752
1597517960,136788480
1597517963,153565696
1597517966,155662848
1597517969,160905728
1597517972,176634368
1597517975,178731520
1597517978,181877248
1597517981,181877248
1597517984,189217280
1597517987,191314432
1597517990,192363008
1597517993,195508736
1597517996,222771712
1597517999,224868864
1597518002,272054784
1597518005,274151936
1597518008,281491968
1597518011,329726464
1597518014,331823616
1597518017,332872192
1597518020,333920768
1597518023,343357952
1597518026,344406528
1597518029,346503680
1597518032,355940864
1597518035,356989440
1597518038,358038016
1597518041,358038016
1597518044,359086592
1597518047,366426624
1597518050,366426624
1597518053,367475200
1597518056,368523776
1597518059,369572352
1597518062,370620928
1597518065,370620928
1597518068,371669504
1597518071,372718080
1597518074,373766656
1597518077,373766656
1597518080,86456832
1597518083,153565696
1597518086,154614272
1597518089,156711424
1597518092,168245760
1597518095,169294336
1597518098,170342912
1597518101,199703040
1597518104,200751616
1597518107,201800192
1597518110,202848768
1597518113,213334528
1597518116,222771712
1597518119,224868864
1597518122,230111744
1597518125,233257472
1597518128,275200512
1597518131,298269184
1597518134,298269184
1597518137,299317760
1597518140,304560640
1597518143,313997824
1597518146,315046400
1597518149,319240704
1597518152,331823616
1597518155,332872192
1597518158,333920768
1597518161,337066496
1597518164,340212224
1597518167,345455104
1597518170,345455104
1597518173,347552256
1597518176,351746560
1597518179,354892288
1597518182,356989440
1597518185,358038016
1597518188,361183744
1597518191,361183744
1597518194,365378048
1597518197,370620928
1597518200,370620928
1597518203,87936000
1597518206,99470336
1597518209,103664640
1597518212,118344704
1597518215,121490432
1597518218,125684736
1597518221,125684736
1597518224,126733312
1597518227,130927616
1597518230,136170496
1597518233,159239168
1597518236,159239168
1597518239,160287744
1597518242,161336320
1597518245,162384896
1597518248,165530624
1597518251,166579200
1597518254,166579200
1597518257,179162112
1597518260,180210688
1597518263,190696448
1597518266,191745024
1597518269,198036480
1597518272,207473664
1597518275,214813696
1597518278,215862272
1597518281,220056576
1597518284,223202304
1597518287,223202304
1597518290,224250880
1597518293,228445184
1597518296,228445184
1597518299,229493760
1597518302,230542336
1597518305,231590912
1597518308,232639488
1597518311,234736640
1597518314,238930944
1597518317,241028096
1597518320,244173824
1597518323,256756736
1597518326,257805312
1597518329,264096768
1597518332,273533952
1597518335,274582528
1597518338,275631104
1597518341,277728256
1597518344,350080000
1597518347,363711488
1597518350,364760064
1597518353,110611472
1597518356,232246288
1597518359,233294864
1597518362,234343440
1597518365,235392016
1597518368,236440592
1597518371,300403728
1597518374,301452304
1597518377,303549456
1597518380,304598032
1597518383,326618128
1597518386,328715280
1597518389,335006736
1597518392,344443920
1597518395,351783952
1597518398,370658320
1597518401,377998352
1597518404,379046928
1597518407,380095504
1597518410,95607808
1597518413,97704960
1597518416,102947840
1597518419,105044992
1597518422,105044992
1597518425,106093568
1597518428,109239296
1597518431,109239296
1597518434,138599424
1597518437,138599424
1597518440,139648000
1597518443,149085184
1597518446,150133760
1597518449,151182336
1597518452,160619520
1597518455,183688192
1597518458,185785344
1597518461,187882496
1597518464,189979648
1597518467,198368256
1597518470,199416832
1597518473,200465408
1597518476,206756864
1597518479,210951168
1597518482,214096896
1597518485,216194048
1597518488,217242624
1597518491,218291200
1597518494,218291200
1597518497,221436928
1597518500,222485504
1597518503,232971264
1597518506,234019840
1597518509,234019840
1597518512,244505600
1597518515,244505600
1597518518,245554176
1597518521,247651328
1597518524,254991360
1597518527,261282816
1597518530,262331392
1597518533,270720000
1597518536,349363200
1597518539,350411776
1597518542,351460352
1597518545,360897536
1597518548,100368384
1597518551,102465536
1597518554,254509056
1597518557,346783744
1597518560,348880896
1597518563,372998144
1597518566,375095296
1597518569,377192448
1597518572,124598272
1597518575,169687040
1597518578,175978496
1597518581,179124224
1597518584,180172800
1597518587,183318528
1597518590,184367104
1597518593,185415680
1597518596,186464256
1597518599,187512832
1597518602,188561408
1597518605,188561408
1597518608,189609984
1597518611,190658560
1597518614,192755712
1597518617,195901440
1597518620,196950016
1597518623,206387200
1597518626,346896384
1597518629,170735616
1597518632,180172800
1597518635,210581504
1597518638,211630080
1597518641,212678656
1597518644,213727232
1597518647,227358720
1597518650,268253184
1597518653,268253184
1597518656,339556352
1597518659,340604928
1597518662,341653504
1597518665,342702080
1597518668,342702080
1597518671,343750656
1597518674,344799232
1597518677,345847808
1597518680,345847808
1597518683,355284992
1597518686,362625024
1597518689,366819328
1597518692,376256512
1597518695,377305088
1597518698,378353664
1597518701,378353664
1597518704,379402240
1597518707,380450816
1597518710,381499392
1597518713,382547968
1597518716,382547968
1597518719,383596544
1597518722,384645120
1597518725,388839424
1597518728,101447680
1597518731,106690560
1597518734,117176320
1597518737,118224896
1597518740,118224896
1597518743,127662080
1597518746,128710656
1597518749,129759232
1597518752,139196416
1597518755,144439296
1597518758,152827904
1597518761,159119360
1597518764,162265088
1597518767,165410816
1597518770,174848000
1597518773,176945152
1597518776,184285184
1597518779,185333760
1597518782,185333760
1597518785,189528064
1597518788,191625216
1597518791,192673792
1597518794,193722368
1597518797,193722368
1597518800,195819520
1597518803,206305280
1597518806,207353856
1597518809,208402432
1597518812,222033920
1597518815,222033920
1597518818,223082496
1597518821,225179648
1597518824,225179648
1597518827,230422528
1597518830,231471104
1597518833,234616832
1597518836,236713984
1597518839,237762560
1597518842,238811136
1597518845,240908288
1597518848,240908288
1597518851,244054016
1597518854,245102592
1597518857,246151168
1597518860,246151168
1597518863,255588352
1597518866,257685504
1597518869,258734080
1597518872,268171264
1597518875,268171264
1597518878,269219840
1597518881,274462720
1597518884,275511296
1597518887,276559872
1597518890,277608448
1597518893,277608448
1597518896,278657024
1597518899,279705600
1597518902,280754176
1597518905,281802752
1597518908,281802752
1597518911,282851328
1597518914,283899904
1597518917,284948480
1597518920,285997056
1597518923,294385664
1597518926,295434240
1597518929,297531392
1597518932,306968576
1597518935,306968576
1597518938,308017152
1597518941,309065728
1597518944,310114304
1597518947,311162880
1597518950,311162880
1597518953,312211456
1597518956,313260032
1597518959,314308608
1597518962,315357184
1597518965,315357184
1597518968,316405760
1597518971,339474432
1597518974,356251648
1597518977,379320320
1597518980,145024000
1597518983,154461184
1597518986,155509760
1597518989,155509760
1597518992,165995520
1597518995,165995520
1597518998,167044096
1597519001,168092672
1597519004,169141248
1597519007,263513088
1597519010,263513088
1597519013,264561664
1597519016,265610240
1597519019,266658816
1597519022,267707392
1597519025,267707392
1597519028,268755968
1597519031,269804544
1597519034,270853120
1597519037,270853120
1597519040,271901696
1597519043,281338880
1597519046,282387456
1597519049,282387456
1597519052,291824640
1597519055,292873216
1597519058,293921792
1597519061,293921792
1597519064,294970368
1597519067,296018944
1597519070,297067520
1597519073,298116096
1597519076,299164672
1597519079,300213248
1597519082,301261824
1597519085,302310400
1597519088,302310400
