t,value
1597515515,9974
1597515518,10239
1597515521,10294
1597515524,10473
1597515527,10555
1597515530,10555
1597515533,10555
1597515536,10555
1597515539,10555
1597515542,10555
1597515545,10555
1597515548,10555
1597515551,10555
1597515554,10555
1597515557,10555
1597515560,10555
1597515563,10555
1597515566,10555
1597515569,10555
1597515572,9932
1597515575,9932
1597515578,9932
1597515581,9932
1597515584,9932
1597515587,9932
1597515590,9932
1597515593,9932
1597515596,9932
1597515599,9932
1597515602,9932
1597515605,9932
1597515608,9932
1597515611,9932
1597515614,9932
1597515617,9932
1597515620,9932
1597515623,9932
1597515626,9932
1597515629,9932
1597515632,9932
1597515635,9932
1597515638,9932
1597515641,9932
1597515644,9932
1597515647,9932
1597515650,12277
1597515653,12278
1597515656,12366
1597515659,12462
1597515662,12462
1597515665,12462
1597515668,12462
1597515671,12462
1597515674,12462
1597515677,12462
1597515680,12462
1597515683,12462
1597515686,12462
1597515689,12462
1597515692,12462
1597515695,12462
1597515698,12462
1597515701,12462
1597515704,12462
1597515707,12462
1597515710,13763
1597515713,13801
1597515716,13801
1597515719,13801
1597515722,13801
1597515725,13801
1597515728,14648
1597515731,14648
1597515734,14648
1597515737,14648
1597515740,14648
1597515743,15308
1597515746,17611
1597515749,17677
1597515752,17677
1597515755,17915
1597515758,24599
1597515761,24599
1597515764,24599
1597515767,24599
1597515770,24599
1597515773,24599
1597515776,24599
1597515779,24599
1597515782,24599
1597515785,24599
1597515788,24599
1597515791,24599
1597515794,24599
1597515797,24599
1597515800,24599
1597515803,24599
1597515806,24599
1597515809,24599
1597515812,24599
1597515815,24599
1597515818,24599
1597515821,24599
1597515824,24599
1597515827,24599
1597515830,24599
1597515833,24599
1597515836,24599
1597515839,24599
1597515842,24599
1597515845,24599
1597515848,24599
1597515851,24599
1597515854,24599
1597515857,24599
1597515860,24599
1597515863,24599
1597515866,24599
1597515869,24599
1597515872,24599
1597515875,24599
1597515878,24599
1597515881,24599
1597515884,24599
1597515887,24599
1597515890,24599
1597515893,24599
1597515896,24599
1597515899,24599
1597515902,24599
1597515905,24599
1597515908,24599
1597515911,24599
1597515914,24599
1597515917,24599
1597515920,24599
1597515923,24599
1597515926,24599
1597515929,24599
1597515932,24599
1597515935,24599
1597515938,24599
