t,value
1597515515,10
1597515518,11
1597515521,12
1597515524,12
1597515527,12
1597515530,12
1597515533,12
1597515536,12
1597515539,12
1597515542,12
1597515545,12
1597515548,12
1597515551,12
1597515554,12
1597515557,12
1597515560,12
1597515563,12
1597515566,12
1597515569,12
1597515572,10
1597515575,10
1597515578,10
1597515581,10
1597515584,10
1597515587,10
1597515590,10
1597515593,10
1597515596,10
1597515599,10
1597515602,10
1597515605,10
1597515608,10
1597515611,10
1597515614,10
1597515617,10
1597515620,10
1597515623,10
1597515626,10
1597515629,10
1597515632,10
1597515635,10
1597515638,10
1597515641,10
1597515644,10
1597515647,10
1597515650,21
1597515653,21
1597515656,21
1597515659,21
1597515662,21
1597515665,21
1597515668,21
1597515671,21
1597515674,21
1597515677,21
1597515680,21
1597515683,21
1597515686,21
1597515689,21
1597515692,21
1597515695,21
1597515698,21
1597515701,21
1597515704,21
1597515707,21
1597515710,24
1597515713,24
1597515716,24
1597515719,24
1597515722,24
1597515725,24
1597515728,24
1597515731,24
1597515734,24
1597515737,24
1597515740,24
1597515743,24
1597515746,24
1597515749,24
1597515752,24
1597515755,25
1597515758,25
1597515761,25
1597515764,25
1597515767,25
1597515770,25
1597515773,25
1597515776,25
1597515779,25
1597515782,25
1597515785,25
1597515788,25
1597515791,25
1597515794,25
1597515797,25
1597515800,25
1597515803,25
1597515806,25
1597515809,25
1597515812,25
1597515815,25
1597515818,25
1597515821,25
1597515824,25
1597515827,25
1597515830,25
1597515833,25
1597515836,25
1597515839,25
1597515842,25
1597515845,25
1597515848,25
1597515851,25
1597515854,25
1597515857,25
1597515860,25
1597515863,25
1597515866,25
1597515869,25
1597515872,25
1597515875,25
1597515878,25
1597515881,25
1597515884,25
1597515887,25
1597515890,25
1597515893,25
1597515896,25
1597515899,25
1597515902,25
1597515905,25
1597515908,25
1597515911,25
1597515914,25
1597515917,25
1597515920,25
1597515923,25
1597515926,25
1597515929,25
1597515932,25
1597515935,25
1597515938,25
