t,value
1597515515,9975
1597515518,10240
1597515521,10295
1597515524,10474
1597515527,10556
1597515530,10556
1597515533,10556
1597515536,10556
1597515539,10556
1597515542,10556
1597515545,10556
1597515548,10556
1597515551,10556
1597515554,10556
1597515557,10556
1597515560,10556
1597515563,10556
1597515566,10556
1597515569,10556
1597515572,9933
1597515575,9933
1597515578,9933
1597515581,9933
1597515584,9933
1597515587,9933
1597515590,9933
1597515593,9933
1597515596,9933
1597515599,9933
1597515602,9933
1597515605,9933
1597515608,9933
1597515611,9933
1597515614,9933
1597515617,9933
1597515620,9933
1597515623,9933
1597515626,9933
1597515629,9933
1597515632,9933
1597515635,9933
1597515638,9933
1597515641,9933
1597515644,9933
1597515647,9933
1597515650,12278
1597515653,12279
1597515656,12367
1597515659,12463
1597515662,12463
1597515665,12463
1597515668,12463
1597515671,12463
1597515674,12463
1597515677,12463
1597515680,12463
1597515683,12463
1597515686,12463
1597515689,12463
1597515692,12463
1597515695,12463
1597515698,12463
1597515701,12463
1597515704,12463
1597515707,12463
1597515710,13764
1597515713,13802
1597515716,13802
1597515719,13802
1597515722,13802
1597515725,13802
1597515728,14649
1597515731,14649
1597515734,14649
1597515737,14649
1597515740,14649
1597515743,15309
1597515746,17612
1597515749,17678
1597515752,17678
1597515755,17916
1597515758,24600
1597515761,24600
1597515764,24600
1597515767,24600
1597515770,24600
1597515773,24600
1597515776,24600
1597515779,24600
1597515782,24600
1597515785,24600
1597515788,24600
1597515791,24600
1597515794,24600
1597515797,24600
1597515800,24600
1597515803,24600
1597515806,24600
1597515809,24600
1597515812,24600
1597515815,24600
1597515818,24600
1597515821,24600
1597515824,24600
1597515827,24600
1597515830,24600
1597515833,24600
1597515836,24600
1597515839,24600
1597515842,24600
1597515845,24600
1597515848,24600
1597515851,24600
1597515854,24600
1597515857,24600
1597515860,24600
1597515863,24600
1597515866,24600
1597515869,24600
1597515872,24600
1597515875,24600
1597515878,24600
1597515881,24600
1597515884,24600
1597515887,24600
1597515890,24600
1597515893,24600
1597515896,24600
1597515899,24600
1597515902,24600
1597515905,24600
1597515908,24600
1597515911,24600
1597515914,24600
1597515917,24600
1597515920,24600
1597515923,24600
1597515926,24600
1597515929,24600
1597515932,24600
1597515935,24600
1597515938,24600
1597515941,24600
1597515944,24600
1597515947,24600
1597515950,24600
1597515953,24600
1597515956,24600
1597515959,24600
1597515962,24600
1597515965,24600
1597515968,24600
1597515971,24600
1597515974,24600
1597515977,22878
1597515980,22878
1597515983,22878
1597515986,22878
1597515989,22878
1597515992,24056
1597515995,24338
1597515998,24338
1597516001,24662
1597516004,24662
1597516007,24662
1597516010,24662
1597516013,24662
1597516016,24662
1597516019,24662
1597516022,24662
1597516025,24662
1597516028,24662
1597516031,24662
1597516034,24662
1597516037,24662
1597516040,24662
1597516043,24662
1597516046,24662
1597516049,24662
1597516052,24662
1597516055,24662
1597516058,24662
1597516061,24662
1597516064,24662
1597516067,24662
1597516070,24662
1597516073,24662
1597516076,24662
1597516079,24662
1597516082,24662
1597516085,24662
1597516088,24662
1597516091,24662
1597516094,24662
1597516097,24662
1597516100,24662
1597516103,24662
1597516106,24662
1597516109,24662
1597516112,24662
1597516115,24662
1597516118,24662
1597516121,24662
1597516124,24662
1597516127,24662
1597516130,24662
1597516133,24662
1597516136,24662
1597516139,24662
1597516142,24662
1597516145,24662
1597516148,24662
1597516151,24662
1597516154,24662
1597516157,24662
1597516160,24662
1597516163,24662
1597516166,24662
1597516169,24662
1597516172,24662
1597516175,24662
1597516178,24662
1597516181,24662
1597516184,24662
1597516187,24662
1597516190,24662
1597516193,24662
1597516196,24662
1597516199,24662
1597516202,24662
1597516205,24662
1597516208,24662
1597516211,24662
1597516214,24662
1597516217,24662
1597516220,24662
1597516223,24662
1597516226,24662
1597516229,24662
1597516232,24662
1597516235,24662
1597516238,24662
1597516241,24662
1597516244,24662
1597516247,24662
1597516250,24662
1597516253,24662
1597516256,24662
1597516259,24662
1597516262,24662
1597516265,24662
1597516268,24662
1597516271,24662
1597516274,24662
1597516277,24662
1597516280,24662
1597516283,24662
1597516286,24662
1597516289,24662
1597516292,22095
1597516295,22095
1597516298,22095
1597516301,22095
1597516304,22095
1597516307,22095
1597516310,22095
1597516313,22095
1597516316,22095
1597516319,22095
1597516322,22095
1597516325,22095
1597516328,22095
1597516331,22095
1597516334,22095
1597516337,22095
1597516340,22095
1597516343,22095
1597516346,22095
1597516349,22095
1597516352,22095
1597516355,22095
1597516358,22095
1597516361,22095
1597516364,22095
1597516367,22095
1597516370,22095
1597516373,22095
1597516376,22095
1597516379,22095
1597516382,22095
1597516385,22095
1597516388,22095
1597516391,22095
1597516394,22095
1597516397,22095
1597516400,22095
1597516403,22095
1597516406,22095
1597516409,22095
1597516412,22095
1597516415,22095
1597516418,22095
1597516421,22095
1597516424,22095
1597516427,22095
1597516430,22095
1597516433,22095
1597516436,22095
1597516439,22095
1597516442,25815
1597516445,26093
1597516448,26655
1597516451,26655
1597516454,26655
1597516457,26655
1597516460,26655
1597516463,26655
1597516466,26655
1597516469,26655
1597516472,26655
1597516475,26655
1597516478,26655
1597516481,26655
1597516484,26655
1597516487,26655
1597516490,26655
1597516493,26655
1597516496,26655
1597516499,26655
1597516502,26655
1597516505,26655
1597516508,26655
1597516511,26655
1597516514,26655
1597516517,26655
1597516520,26655
1597516523,26655
1597516526,26655
1597516529,26655
1597516532,26655
1597516535,26655
1597516538,26655
1597516541,26655
1597516544,26655
1597516547,26655
1597516550,26655
1597516553,26655
1597516556,26655
1597516559,26655
1597516562,26655
1597516565,26655
1597516568,26655
1597516571,26655
1597516574,26843
1597516577,26854
1597516580,26854
1597516583,26854
1597516586,26854
1597516589,26854
1597516592,26854
1597516595,26854
1597516598,26854
1597516601,26854
1597516604,26854
1597516607,26854
1597516610,26854
1597516613,26854
1597516616,26854
1597516619,26854
1597516622,26854
1597516625,26854
1597516628,26854
1597516631,26854
1597516634,26854
1597516637,26854
1597516640,26854
1597516643,26854
1597516646,26854
1597516649,26854
1597516652,26854
1597516655,26854
1597516658,26854
1597516661,26854
1597516664,26854
1597516667,26854
1597516670,26854
1597516673,26854
1597516676,26854
1597516679,26854
1597516682,26854
1597516685,26854
1597516688,26854
1597516691,26854
1597516694,26854
1597516697,26854
1597516700,26854
1597516703,26854
1597516706,26854
1597516709,26854
1597516712,26854
1597516715,26854
1597516718,26854
1597516721,26854
1597516724,26854
1597516727,26854
1597516730,26854
1597516733,26854
1597516736,26854
1597516739,26854
1597516742,21994
1597516745,21994
1597516748,21994
1597516751,21994
1597516754,21994
1597516757,21994
1597516760,21994
1597516763,21994
1597516766,21994
1597516769,21994
1597516772,21994
1597516775,21994
1597516778,21994
1597516781,21994
1597516784,21994
1597516787,21994
1597516790,21994
1597516793,21994
1597516796,21994
1597516799,21994
1597516802,21994
1597516805,21994
1597516808,21994
1597516811,21994
1597516814,21994
1597516817,21994
1597516820,21994
1597516823,21994
1597516826,21994
1597516829,21994
1597516832,21994
1597516835,21994
1597516838,21994
1597516841,21994
1597516844,21994
1597516847,21994
1597516850,21994
1597516853,21994
1597516856,21994
1597516859,21994
1597516862,21994
1597516865,21994
1597516868,21994
1597516871,21994
1597516874,21994
1597516877,21994
1597516880,21994
1597516883,21994
1597516886,21994
1597516889,21994
1597516892,21994
1597516895,21994
1597516898,21994
1597516901,21994
1597516904,21994
1597516907,21994
1597516910,21994
1597516913,21994
1597516916,21994
1597516919,21994
1597516922,21994
1597516925,21994
1597516928,21994
1597516931,21994
1597516934,21994
1597516937,21994
1597516940,21994
1597516943,21994
1597516946,21994
1597516949,21994
1597516952,21994
1597516955,21994
1597516958,21994
1597516961,21994
1597516964,21994
1597516967,21994
1597516970,21994
1597516973,21994
1597516976,21994
1597516979,21994
1597516982,21994
1597516985,21994
1597516988,21994
1597516991,21994
1597516994,21994
1597516997,21994
1597517000,21994
1597517003,21994
1597517006,21994
1597517009,21994
1597517012,21994
1597517015,21994
1597517018,21994
1597517021,21994
1597517024,21994
1597517027,21994
1597517030,21994
1597517033,21994
1597517036,21994
1597517039,21994
1597517042,21994
1597517045,21994
1597517048,21994
1597517051,21994
1597517054,21994
1597517057,21994
1597517060,21994
1597517063,21994
1597517066,21994
1597517069,21994
1597517072,21994
1597517075,21994
1597517078,21994
1597517081,21994
1597517084,21994
1597517087,21994
1597517090,21994
1597517093,21994
1597517096,21994
1597517099,21994
1597517102,21994
1597517105,21994
1597517108,21994
1597517111,21994
1597517114,21994
1597517117,21994
1597517120,21994
1597517123,21994
1597517126,21994
1597517129,21994
1597517132,21994
1597517135,21994
1597517138,21994
1597517141,21994
1597517144,21994
1597517147,21994
1597517150,21994
1597517153,21994
1597517156,21994
1597517159,21994
1597517162,21994
1597517165,21994
1597517168,21994
1597517171,21994
1597517174,21994
1597517177,21994
1597517180,21994
1597517183,21994
1597517186,21994
1597517189,21994
1597517192,21994
1597517195,21994
1597517198,21994
1597517201,21994
1597517204,21994
1597517207,21994
1597517210,21994
1597517213,21994
1597517216,21994
1597517219,21994
1597517222,21994
1597517225,21994
1597517228,21994
1597517231,21994
1597517234,21994
1597517237,21994
1597517240,21994
1597517243,21994
1597517246,21994
1597517249,21994
1597517252,21994
1597517255,21994
1597517258,21994
1597517261,21994
1597517264,21994
1597517267,21994
1597517270,21994
1597517273,21994
1597517276,21994
1597517279,21994
1597517282,21994
1597517285,21994
1597517288,21994
1597517291,21994
1597517294,21994
1597517297,21994
1597517300,21994
1597517303,21994
1597517306,21994
1597517309,21994
1597517312,21994
1597517315,21994
1597517318,21994
1597517321,21994
1597517324,21994
1597517327,21994
1597517330,21994
1597517333,21994
1597517336,21994
1597517339,21994
1597517342,21994
1597517345,21994
1597517348,21994
1597517351,21994
1597517354,21994
1597517357,21994
1597517360,21994
1597517363,21994
1597517366,21994
1597517369,21994
1597517372,21994
1597517375,21994
1597517378,21994
1597517381,21994
1597517384,21994
1597517387,21994
1597517390,21994
1597517393,21994
1597517396,21994
1597517399,21994
1597517402,21994
1597517405,21994
1597517408,21994
1597517411,21994
1597517414,21994
1597517417,21994
1597517420,21994
1597517423,21994
1597517426,21994
1597517429,21994
1597517432,21994
1597517435,21994
1597517438,21994
1597517441,21994
1597517444,21994
1597517447,21994
1597517450,21994
1597517453,21994
1597517456,21994
1597517459,21994
1597517462,21994
1597517465,21994
1597517468,21994
1597517471,21994
1597517474,21994
1597517477,21994
1597517480,21994
1597517483,21994
1597517486,21994
1597517489,21994
1597517492,21994
1597517495,21994
1597517498,21994
1597517501,21994
1597517504,21994
1597517507,21994
1597517510,21994
1597517513,21994
1597517516,21994
1597517519,21994
1597517522,21994
1597517525,21994
1597517528,21994
1597517531,21994
1597517534,21994
1597517537,21994
1597517540,21994
1597517543,21994
1597517546,21994
1597517549,21994
1597517552,21994
1597517555,21994
1597517558,21994
1597517561,21994
1597517564,21994
1597517567,21994
1597517570,21994
1597517573,21994
1597517576,21994
1597517579,21994
1597517582,21994
1597517585,21994
1597517588,22296
1597517591,22625
1597517594,22625
1597517597,27490
1597517600,28047
1597517603,28949
1597517606,29808
1597517609,29846
1597517612,30796
1597517615,30796
1597517618,30796
1597517621,30796
1597517624,30796
1597517627,30796
1597517630,30796
1597517633,30797
1597517636,34347
1597517639,34347
1597517642,34347
1597517645,34347
1597517648,34347
1597517651,34347
1597517654,34347
1597517657,34347
1597517660,34347
1597517663,34347
1597517666,38147
1597517669,38147
1597517672,38147
1597517675,38147
1597517678,38147
1597517681,38147
1597517684,38147
1597517687,38147
1597517690,38147
1597517693,38147
1597517696,38147
1597517699,38147
1597517702,38147
1597517705,38147
1597517708,38147
1597517711,38147
1597517714,38147
1597517717,38147
1597517720,38147
1597517723,38147
1597517726,38147
1597517729,38147
1597517732,38147
1597517735,38147
1597517738,38147
1597517741,42006
1597517744,42006
1597517747,42006
1597517750,42448
1597517753,42448
1597517756,42499
1597517759,42505
1597517762,42505
1597517765,42528
1597517768,42528
1597517771,42528
1597517774,42528
1597517777,42528
1597517780,43044
1597517783,43044
1597517786,43044
1597517789,43044
1597517792,43044
1597517795,43044
1597517798,43044
1597517801,45339
1597517804,45472
1597517807,45990
1597517810,46008
1597517813,46008
1597517816,46008
1597517819,46008
1597517822,46008
1597517825,46010
1597517828,50205
1597517831,54259
1597517834,54385
1597517837,54385
1597517840,54385
1597517843,54385
1597517846,54385
1597517849,54385
1597517852,54385
1597517855,54385
1597517858,54631
1597517861,54661
1597517864,54661
1597517867,54661
1597517870,54661
1597517873,54661
1597517876,54661
1597517879,54661
1597517882,58011
1597517885,58011
1597517888,58011
1597517891,58011
1597517894,58011
1597517897,58024
1597517900,58024
1597517903,58027
1597517906,58027
1597517909,58027
1597517912,58027
1597517915,58027
1597517918,58449
1597517921,58449
1597517924,58449
1597517927,58449
1597517930,58449
1597517933,58568
1597517936,58568
1597517939,58568
1597517942,58568
1597517945,58568
1597517948,58619
1597517951,58619
1597517954,58619
1597517957,58619
1597517960,58621
1597517963,58622
1597517966,58665
1597517969,58665
1597517972,62408
1597517975,62408
1597517978,62408
1597517981,62408
1597517984,62480
1597517987,62480
1597517990,62480
1597517993,62480
1597517996,62881
1597517999,62881
1597518002,62881
1597518005,62881
1597518008,62881
1597518011,62881
1597518014,62881
1597518017,62881
1597518020,62881
1597518023,62881
1597518026,62881
1597518029,62881
1597518032,62881
1597518035,62881
1597518038,62881
1597518041,62881
1597518044,62881
1597518047,62881
1597518050,62881
1597518053,62881
1597518056,62881
1597518059,62881
1597518062,62881
1597518065,62881
1597518068,62881
1597518071,62881
1597518074,62881
1597518077,62881
1597518080,70210
1597518083,89355
1597518086,89355
1597518089,89355
1597518092,91794
1597518095,91794
1597518098,91794
1597518101,91794
1597518104,91794
1597518107,91794
1597518110,91794
1597518113,91794
1597518116,91794
1597518119,91794
1597518122,91794
1597518125,91794
1597518128,91794
1597518131,91794
1597518134,91794
1597518137,91794
1597518140,91794
1597518143,91794
1597518146,91794
1597518149,91839
1597518152,91839
1597518155,91839
1597518158,91839
1597518161,91839
1597518164,91839
1597518167,91839
1597518170,91839
1597518173,91839
1597518176,91839
1597518179,91839
1597518182,91839
1597518185,91839
1597518188,95204
1597518191,95204
1597518194,95204
1597518197,95204
1597518200,95204
1597518203,95204
1597518206,95204
1597518209,95204
1597518212,95204
1597518215,95204
1597518218,90543
1597518221,90543
1597518224,90543
1597518227,90543
1597518230,90543
1597518233,94323
1597518236,94323
1597518239,94323
1597518242,94323
1597518245,94323
1597518248,94323
1597518251,94323
1597518254,94323
1597518257,94323
1597518260,94323
1597518263,94323
1597518266,94323
1597518269,94323
1597518272,94323
1597518275,94323
1597518278,94323
1597518281,94323
1597518284,94323
1597518287,94323
1597518290,94323
1597518293,98076
1597518296,98076
1597518299,98076
1597518302,98076
1597518305,98076
1597518308,98076
1597518311,98076
1597518314,98076
1597518317,98076
1597518320,98076
1597518323,98076
1597518326,98076
1597518329,98076
1597518332,98076
1597518335,98076
1597518338,98076
1597518341,105125
1597518344,123711
1597518347,123711
1597518350,123711
1597518353,123711
1597518356,130937
1597518359,130937
1597518362,130937
1597518365,130937
1597518368,130937
1597518371,130937
1597518374,130937
1597518377,130937
1597518380,130937
1597518383,130937
1597518386,130937
1597518389,130937
1597518392,130937
1597518395,130937
1597518398,130937
1597518401,130937
1597518404,130937
1597518407,130937
1597518410,130937
1597518413,130937
1597518416,130937
1597518419,130937
1597518422,130937
1597518425,130937
1597518428,130937
1597518431,130937
1597518434,130937
1597518437,130937
1597518440,130937
1597518443,130937
1597518446,130937
1597518449,130937
1597518452,130937
1597518455,130937
1597518458,130937
1597518461,130937
1597518464,130937
1597518467,130937
1597518470,130937
1597518473,130937
1597518476,130937
1597518479,130937
1597518482,130937
1597518485,130937
1597518488,130937
1597518491,130937
1597518494,130937
1597518497,130937
1597518500,130937
1597518503,130937
1597518506,116947
1597518509,106997
1597518512,106997
1597518515,106997
1597518518,106997
1597518521,106997
1597518524,106997
1597518527,107413
1597518530,107413
1597518533,107413
1597518536,109786
1597518539,109786
1597518542,109786
1597518545,110034
1597518548,110507
1597518551,110507
1597518554,111147
1597518557,111881
1597518560,111881
1597518563,111912
1597518566,111912
1597518569,111966
1597518572,111966
1597518575,112174
1597518578,112174
1597518581,112174
1597518584,112174
1597518587,112174
1597518590,112174
1597518593,112174
1597518596,112174
1597518599,112174
1597518602,112174
1597518605,112174
1597518608,112174
1597518611,112174
1597518614,112174
1597518617,115954
1597518620,115954
1597518623,115954
1597518626,115961
1597518629,116083
1597518632,116083
1597518635,116083
1597518638,116083
1597518641,116083
