t,value
1597515515,1426560
1597515518,1441408
1597515521,1450240
1597515524,1477376
1597515527,1492224
1597515530,1492224
1597515533,1497984
1597515536,1492224
1597515539,1492224
1597515542,1492224
1597515545,1492224
1597515548,1492224
1597515551,1492224
1597515554,1492224
1597515557,1492224
1597515560,1492224
1597515563,1492224
1597515566,1492224
1597515569,1492224
1597515572,1492224
1597515575,1492224
1597515578,1492224
1597515581,1492224
1597515584,1492224
1597515587,1492224
1597515590,1492224
1597515593,1492224
1597515596,1492224
1597515599,1492224
1597515602,1492224
1597515605,1492224
1597515608,1492224
1597515611,1492224
1597515614,1492224
1597515617,1492224
1597515620,1492224
1597515623,1492224
1597515626,1492224
1597515629,1492224
1597515632,1492224
1597515635,1492224
1597515638,1492224
1597515641,1492224
1597515644,1492224
1597515647,1496704
1597515650,1499904
1597515653,1510656
1597515656,1519616
1597515659,1519616
1597515662,1519616
1597515665,1519616
1597515668,1519616
1597515671,1519616
1597515674,1519616
1597515677,1519616
1597515680,1519616
1597515683,1519616
1597515686,1519616
1597515689,1519616
1597515692,1519616
1597515695,1519616
1597515698,1519616
1597515701,1519616
1597515704,1519616
1597515707,1519616
1597515710,1525504
1597515713,1525504
1597515716,1525504
1597515719,1525504
1597515722,1525504
1597515725,1525504
1597515728,1525504
1597515731,1525504
1597515734,1525504
1597515737,1525504
1597515740,1525504
1597515743,1525504
1597515746,1528832
1597515749,1528832
1597515752,1528832
1597515755,1530112
1597515758,1556992
1597515761,1556992
1597515764,1556992
1597515767,1556992
1597515770,1556992
1597515773,1586048
1597515776,1558272
1597515779,1558272
1597515782,1558272
1597515785,1558272
1597515788,1558272
1597515791,1559552
1597515794,1559552
1597515797,1559552
1597515800,1559552
1597515803,1559552
1597515806,1559552
1597515809,1559552
1597515812,1559552
1597515815,1559552
1597515818,1559552
1597515821,1559552
1597515824,1559552
1597515827,1559552
1597515830,1559552
1597515833,1559552
1597515836,1559552
1597515839,1559552
1597515842,1559552
1597515845,1559552
1597515848,1559552
1597515851,1559552
1597515854,1559552
1597515857,1559552
1597515860,1559552
1597515863,1559552
1597515866,1559552
1597515869,1559552
1597515872,1559552
1597515875,1559552
1597515878,1559552
1597515881,1559552
1597515884,1559552
1597515887,1559552
1597515890,1559552
1597515893,1559552
1597515896,1559552
1597515899,1559552
1597515902,1559552
1597515905,1559552
1597515908,1559552
1597515911,1559552
1597515914,1559552
1597515917,1559552
1597515920,1559552
1597515923,1559552
1597515926,1559552
1597515929,1559552
1597515932,1559552
1597515935,1559552
1597515938,1559552
1597515941,1559552
1597515944,1559552
1597515947,1559552
1597515950,1559552
1597515953,1559552
1597515956,1559552
1597515959,1559552
1597515962,1559552
1597515965,1559552
1597515968,1559552
1597515971,1559552
1597515974,1559552
1597515977,1559552
1597515980,1559552
1597515983,1559552
1597515986,1559552
1597515989,1559552
1597515992,1559552
1597515995,1559552
1597515998,1559552
1597516001,1560832
1597516004,1560832
1597516007,1560832
1597516010,1560832
1597516013,1560832
1597516016,1560832
1597516019,1560832
1597516022,1560832
1597516025,1560832
1597516028,1560832
1597516031,1560832
1597516034,1560832
1597516037,1560832
1597516040,1560832
1597516043,1560832
1597516046,1560832
1597516049,1560832
1597516052,1560832
1597516055,1560832
1597516058,1560832
1597516061,1560832
1597516064,1560832
1597516067,1560832
1597516070,1560832
1597516073,1560832
1597516076,1560832
1597516079,1560832
1597516082,1560832
1597516085,1560832
1597516088,1560832
1597516091,1560832
1597516094,1560832
1597516097,1560832
1597516100,1560832
1597516103,1560832
1597516106,1560832
1597516109,1560832
1597516112,1560832
1597516115,1560832
1597516118,1560832
1597516121,1560832
1597516124,1564544
1597516127,1564544
1597516130,1564544
1597516133,1564544
1597516136,1564544
1597516139,1564544
1597516142,1564544
1597516145,1564544
1597516148,1564544
1597516151,1564544
1597516154,1564544
1597516157,1564544
1597516160,1564544
1597516163,1564544
1597516166,1564544
1597516169,1564544
1597516172,1564544
1597516175,1564544
1597516178,1564544
1597516181,1564544
1597516184,1564544
1597516187,1564544
1597516190,1564544
1597516193,1564544
1597516196,1564544
1597516199,1564544
1597516202,1564544
1597516205,1564544
1597516208,1564544
1597516211,1564544
1597516214,1564544
1597516217,1564544
1597516220,1564544
1597516223,1564544
1597516226,1564544
1597516229,1564544
1597516232,1564544
1597516235,1564544
1597516238,1564544
1597516241,1564544
1597516244,1564544
1597516247,1564544
1597516250,1564544
1597516253,1564544
1597516256,1564544
1597516259,1564544
1597516262,1564544
1597516265,1564544
1597516268,1564544
1597516271,1564544
1597516274,1564544
1597516277,1564544
1597516280,1564544
1597516283,1564544
1597516286,1564544
1597516289,1564544
1597516292,1564544
1597516295,1564544
1597516298,1564544
1597516301,1564544
1597516304,1564544
1597516307,1564544
1597516310,1564544
1597516313,1564544
1597516316,1564544
1597516319,1564544
1597516322,1564544
1597516325,1564544
1597516328,1564544
1597516331,1564544
1597516334,1564544
1597516337,1564544
1597516340,1564544
1597516343,1564544
1597516346,1564544
1597516349,1564544
1597516352,1564544
1597516355,1564544
1597516358,1564544
1597516361,1564544
1597516364,1564544
1597516367,1564544
1597516370,1564544
1597516373,1564544
1597516376,1564544
1597516379,1564544
1597516382,1564544
1597516385,1564544
1597516388,1564544
1597516391,1564544
1597516394,1564544
1597516397,1564544
1597516400,1564544
1597516403,1564544
1597516406,1564544
1597516409,1564544
1597516412,1564544
1597516415,1564544
1597516418,1564544
1597516421,1564544
1597516424,1564544
1597516427,1564544
1597516430,1564544
1597516433,1564544
1597516436,1564544
1597516439,1564544
1597516442,1568768
1597516445,1568768
1597516448,1568768
1597516451,1568768
1597516454,1568768
1597516457,1568768
1597516460,1568768
1597516463,1568768
1597516466,1568768
1597516469,1568768
1597516472,1568768
1597516475,1568768
1597516478,1568768
1597516481,1568768
1597516484,1568768
1597516487,1568768
1597516490,1568768
1597516493,1568768
1597516496,1568768
1597516499,1568768
1597516502,1568768
1597516505,1568768
1597516508,1568768
1597516511,1568768
1597516514,1568768
1597516517,1568768
1597516520,1568768
1597516523,1568768
1597516526,1568768
1597516529,1568768
1597516532,1568768
1597516535,1568768
1597516538,1568768
1597516541,1568768
1597516544,1568768
1597516547,1568768
1597516550,1568768
1597516553,1568768
1597516556,1568768
1597516559,1568768
1597516562,1568768
1597516565,1568768
1597516568,1568768
1597516571,1568768
1597516574,1568768
1597516577,1571968
1597516580,1571968
1597516583,1571968
1597516586,1571968
1597516589,1571968
1597516592,1571968
1597516595,1571968
1597516598,1571968
1597516601,1571968
1597516604,1571968
1597516607,1571968
1597516610,1571968
1597516613,1571968
1597516616,1571968
1597516619,1571968
1597516622,1571968
1597516625,1571968
1597516628,1571968
1597516631,1571968
1597516634,1571968
1597516637,1571968
1597516640,1571968
1597516643,1571968
1597516646,1571968
1597516649,1571968
1597516652,1571968
1597516655,1571968
1597516658,1571968
1597516661,1571968
1597516664,1571968
1597516667,1571968
1597516670,1571968
1597516673,1571968
1597516676,1571968
1597516679,1571968
1597516682,1571968
1597516685,1571968
1597516688,1571968
1597516691,1571968
1597516694,1571968
1597516697,1571968
1597516700,1571968
1597516703,1571968
1597516706,1571968
1597516709,1571968
1597516712,1571968
1597516715,1571968
1597516718,1571968
1597516721,1571968
1597516724,1571968
1597516727,1571968
1597516730,1571968
1597516733,1571968
1597516736,1571968
1597516739,1571968
1597516742,1571968
1597516745,1571968
1597516748,1571968
1597516751,1571968
1597516754,1571968
1597516757,1571968
1597516760,1571968
1597516763,1571968
1597516766,1571968
1597516769,1571968
1597516772,1571968
1597516775,1571968
1597516778,1571968
1597516781,1571968
1597516784,1571968
1597516787,1571968
1597516790,1571968
1597516793,1571968
1597516796,1571968
1597516799,1571968
1597516802,1571968
1597516805,1571968
1597516808,1571968
1597516811,1571968
1597516814,1571968
1597516817,1571968
1597516820,1571968
1597516823,1571968
1597516826,1571968
1597516829,1571968
1597516832,1571968
1597516835,1571968
1597516838,1571968
1597516841,1571968
1597516844,1571968
1597516847,1571968
1597516850,1571968
1597516853,1571968
1597516856,1571968
1597516859,1571968
1597516862,1571968
1597516865,1571968
1597516868,1571968
1597516871,1571968
1597516874,1571968
1597516877,1571968
1597516880,1571968
1597516883,1571968
1597516886,1571968
1597516889,1571968
1597516892,1571968
1597516895,1571968
1597516898,1571968
1597516901,1571968
1597516904,1571968
1597516907,1571968
1597516910,1571968
1597516913,1571968
1597516916,1571968
1597516919,1571968
1597516922,1571968
1597516925,1571968
1597516928,1571968
1597516931,1571968
1597516934,1571968
1597516937,1571968
1597516940,1571968
1597516943,1571968
1597516946,1571968
1597516949,1571968
1597516952,1571968
1597516955,1571968
1597516958,1571968
1597516961,1571968
1597516964,1571968
1597516967,1571968
1597516970,1571968
1597516973,1571968
1597516976,1571968
1597516979,1571968
1597516982,1571968
1597516985,1571968
1597516988,1571968
1597516991,1571968
1597516994,1571968
1597516997,1571968
1597517000,1571968
1597517003,1571968
1597517006,1571968
1597517009,1571968
1597517012,1571968
1597517015,1571968
1597517018,1571968
1597517021,1571968
1597517024,1571968
1597517027,1571968
1597517030,1571968
1597517033,1571968
1597517036,1571968
1597517039,1571968
1597517042,1571968
1597517045,1571968
1597517048,1571968
1597517051,1571968
1597517054,1571968
1597517057,1571968
1597517060,1571968
1597517063,1571968
1597517066,1571968
1597517069,1571968
1597517072,1571968
1597517075,1571968
1597517078,1571968
1597517081,1571968
1597517084,1571968
1597517087,1571968
1597517090,1571968
1597517093,1571968
1597517096,1571968
1597517099,1571968
1597517102,1571968
1597517105,1571968
1597517108,1571968
1597517111,1571968
1597517114,1571968
1597517117,1571968
1597517120,1571968
1597517123,1571968
1597517126,1571968
1597517129,1571968
1597517132,1571968
1597517135,1571968
1597517138,1571968
1597517141,1571968
1597517144,1571968
1597517147,1571968
1597517150,1571968
1597517153,1571968
1597517156,1571968
1597517159,1571968
1597517162,1571968
1597517165,1571968
1597517168,1571968
1597517171,1571968
1597517174,1571968
1597517177,1571968
1597517180,1571968
1597517183,1571968
1597517186,1571968
1597517189,1571968
1597517192,1571968
1597517195,1571968
1597517198,1571968
1597517201,1571968
1597517204,1571968
1597517207,1571968
1597517210,1571968
1597517213,1571968
1597517216,1571968
