t,value
1597515515,4491008
1597515518,4513536
1597515521,4889600
1597515524,5236608
1597515527,5926656
1597515530,6058880
1597515533,6112512
1597515536,6146944
1597515539,6156672
1597515542,6168832
1597515545,6240640
1597515548,6246528
1597515551,6286720
1597515554,6291200
1597515557,6293888
1597515560,6305024
1597515563,6323328
1597515566,6372480
1597515569,6373376
1597515572,6379776
1597515575,6480000
1597515578,6486272
1597515581,6496128
1597515584,6497536
1597515587,6535040
1597515590,6546816
1597515593,6593152
1597515596,6617984
1597515599,6624256
1597515602,6652032
1597515605,6681856
1597515608,6685056
1597515611,6693504
1597515614,6714112
1597515617,6727808
1597515620,6727808
1597515623,6757248
1597515626,6757248
1597515629,6759680
1597515632,6797952
1597515635,6797952
1597515638,6797952
1597515641,6798720
1597515644,6798720
1597515647,6885376
1597515650,7440000
1597515653,8025600
1597515656,8701440
1597515659,8847744
1597515662,9034112
1597515665,9141248
1597515668,9145344
1597515671,9147520
1597515674,9159680
1597515677,8489472
1597515680,8489472
1597515683,8502400
1597515686,8509312
1597515689,8510336
1597515692,8583936
1597515695,8583936
1597515698,8583936
1597515701,8584704
1597515704,8586496
1597515707,8589312
1597515710,8967552
1597515713,9073408
1597515716,9073408
1597515719,9073408
1597515722,9073408
1597515725,9074944
1597515728,9156352
1597515731,9177472
1597515734,9178496
1597515737,9180672
1597515740,9181696
1597515743,9255040
1597515746,9743360
1597515749,9894656
1597515752,9926528
1597515755,10104064
1597515758,10401408
1597515761,11117440
1597515764,11510400
1597515767,12327296
1597515770,12567680
1597515773,13208448
1597515776,13972096
1597515779,13984896
1597515782,14003072
1597515785,14003072
1597515788,14003072
1597515791,14059264
1597515794,14059264
1597515797,14059264
1597515800,14060160
1597515803,14071680
1597515806,14071680
1597515809,14073344
1597515812,14107904
1597515815,14107904
1597515818,14133120
1597515821,14140544
1597515824,14145152
1597515827,14145152
1597515830,14210816
1597515833,14221696
1597515836,14228096
1597515839,14228096
1597515842,14228096
1597515845,14228096
1597515848,14228096
1597515851,14292352
1597515854,14292352
1597515857,14293248
1597515860,14293248
1597515863,14311808
1597515866,14312960
1597515869,14312960
1597515872,14317440
1597515875,14317440
1597515878,14317440
1597515881,14317440
1597515884,14317440
1597515887,14317440
1597515890,14318336
1597515893,14318336
1597515896,14318336
1597515899,14318336
1597515902,14318336
1597515905,14318336
1597515908,14318336
1597515911,14318336
1597515914,14318336
1597515917,14318336
1597515920,14318336
1597515923,14325632
1597515926,14326528
1597515929,14327808
1597515932,14344576
1597515935,14344576
1597515938,14344576
1597515941,14344576
1597515944,14363008
1597515947,14363008
1597515950,14363008
1597515953,14363008
1597515956,14363008
1597515959,14384128
1597515962,14384896
1597515965,14384896
1597515968,14384896
1597515971,14384896
1597515974,14384896
1597515977,14385536
1597515980,14387840
1597515983,14387840
1597515986,14387840
1597515989,14387840
1597515992,14610048
1597515995,14990080
1597515998,15095424
1597516001,15296384
1597516004,15505152
1597516007,15510528
1597516010,15560832
1597516013,15560832
1597516016,15561728
1597516019,15561728
1597516022,15561728
1597516025,15572864
1597516028,15573888
1597516031,15573888
1597516034,15626752
1597516037,15632256
1597516040,15632256
1597516043,15663488
1597516046,15668992
1597516049,15679872
1597516052,15679872
1597516055,15679872
1597516058,15680512
1597516061,15680512
1597516064,15680512
1597516067,15682048
1597516070,15682048
1597516073,15682048
1597516076,15682048
1597516079,15682816
1597516082,15686016
1597516085,15686016
1597516088,15686016
1597516091,15686016
1597516094,15687296
1597516097,15690112
1597516100,15692672
1597516103,15705856
1597516106,15712000
1597516109,15712640
1597516112,15714560
1597516115,15715840
1597516118,15718784
1597516121,15718784
1597516124,15721728
1597516127,15721728
1597516130,15722880
1597516133,15722880
1597516136,15723904
1597516139,15723904
1597516142,15725696
1597516145,15725696
1597516148,15728768
1597516151,15728768
1597516154,15728768
1597516157,15728768
1597516160,15728768
1597516163,15734400
1597516166,15734400
1597516169,15739008
1597516172,15739008
1597516175,15739008
1597516178,15739904
1597516181,15739904
1597516184,15739904
1597516187,15739904
1597516190,15739904
1597516193,15739904
1597516196,15739904
1597516199,15743232
1597516202,15743232
1597516205,15743232
1597516208,15744128
1597516211,15744128
1597516214,15744896
1597516217,15775744
1597516220,15775744
1597516223,15775744
1597516226,15775744
1597516229,15775744
1597516232,15775744
1597516235,15775744
1597516238,15776512
1597516241,15776512
1597516244,15777792
1597516247,15777792
1597516250,15777792
1597516253,15777792
1597516256,15777792
1597516259,15777792
1597516262,15777792
1597516265,15777792
1597516268,15777792
1597516271,15777792
1597516274,15785472
1597516277,15785472
1597516280,15785472
1597516283,15791104
1597516286,15793664
1597516289,15793664
1597516292,15795712
1597516295,15795712
1597516298,15795712
1597516301,15795712
1597516304,15795712
1597516307,15795712
1597516310,15795712
1597516313,15797120
1597516316,15797120
1597516319,15810176
1597516322,15810176
1597516325,15810176
1597516328,15810176
1597516331,15810176
1597516334,15812224
1597516337,15815936
1597516340,15815936
1597516343,15816704
1597516346,15816704
1597516349,15816704
1597516352,15830272
1597516355,15830272
1597516358,15831040
1597516361,15831040
1597516364,15831040
1597516367,15831040
1597516370,15831040
1597516373,15831040
1597516376,15831040
1597516379,15852544
1597516382,15852544
1597516385,15852544
1597516388,15854336
1597516391,15854336
1597516394,15854336
1597516397,15854336
1597516400,15854336
1597516403,15854336
1597516406,15854336
1597516409,15856128
1597516412,15856128
1597516415,15856128
1597516418,15857152
1597516421,15861504
1597516424,15861504
1597516427,15861504
1597516430,15861504
1597516433,15861504
1597516436,15861504
1597516439,15861504
1597516442,16465792
1597516445,16564224
1597516448,17030912
1597516451,17030912
1597516454,17031936
1597516457,17031936
1597516460,17031936
1597516463,17031936
1597516466,17031936
1597516469,17032832
1597516472,17032832
1597516475,17032832
1597516478,17033856
1597516481,17033856
1597516484,17053440
1597516487,17053440
1597516490,17053440
1597516493,17054592
1597516496,17054592
1597516499,17054592
1597516502,17056640
1597516505,17056640
1597516508,17058432
1597516511,17058432
1597516514,17058432
1597516517,17058432
1597516520,17058432
1597516523,17063168
1597516526,17070592
1597516529,17070592
1597516532,17071872
1597516535,17071872
1597516538,17071872
1597516541,17071872
1597516544,17071872
1597516547,17071872
1597516550,17072512
1597516553,17072512
1597516556,17072512
1597516559,17072512
1597516562,17072512
1597516565,17112192
1597516568,17112192
1597516571,17112192
1597516574,17127040
1597516577,17198720
1597516580,17200000
1597516583,17206528
1597516586,17206528
1597516589,17207680
1597516592,17208960
1597516595,17208960
1597516598,17215232
1597516601,17215232
1597516604,17225600
1597516607,17265024
1597516610,17265024
1597516613,17265024
1597516616,17265024
1597516619,17342592
1597516622,17344128
1597516625,17344128
1597516628,17344128
1597516631,17344128
1597516634,17358464
1597516637,17358464
1597516640,17363712
1597516643,17364480
1597516646,17364480
1597516649,17364480
1597516652,17368576
1597516655,17430272
1597516658,17430272
1597516661,17430272
1597516664,17430272
1597516667,17431424
1597516670,17432576
1597516673,17432576
1597516676,17432576
1597516679,17432576
1597516682,17432576
1597516685,17432576
1597516688,15567360
1597516691,14905216
1597516694,14905216
1597516697,14905216
1597516700,14905216
1597516703,14905216
1597516706,14905216
1597516709,14908416
1597516712,14959360
1597516715,14959360
1597516718,14959360
1597516721,14959360
1597516724,14960896
1597516727,14962304
1597516730,14962304
1597516733,14963200
1597516736,14964352
1597516739,14965120
1597516742,14966016
1597516745,14966016
1597516748,14967296
1597516751,14967296
1597516754,14979200
1597516757,14981248
1597516760,15012224
1597516763,15018752
1597516766,15018752
1597516769,15019776
1597516772,15019776
1597516775,15019776
1597516778,15019776
1597516781,15019776
1597516784,15020416
1597516787,15025280
1597516790,15025280
1597516793,15027072
1597516796,15027072
1597516799,15027072
1597516802,15029248
1597516805,15029248
1597516808,15031552
1597516811,15031552
1597516814,15031552
1597516817,15031552
1597516820,15031552
1597516823,15033216
1597516826,15033216
1597516829,15033216
1597516832,15044736
1597516835,15096448
1597516838,15096448
1597516841,15096448
1597516844,15096448
1597516847,15109248
1597516850,15125632
1597516853,15125632
1597516856,15125632
1597516859,15125632
1597516862,15126656
1597516865,15127936
1597516868,15127936
1597516871,15127936
1597516874,15128960
1597516877,15128960
1597516880,15128960
1597516883,15141376
1597516886,15141376
1597516889,15145216
1597516892,15149696
1597516895,15149696
1597516898,15154176
1597516901,15154176
1597516904,15159040
1597516907,15199616
1597516910,15199616
1597516913,15199616
1597516916,15199616
1597516919,15201920
1597516922,15204992
1597516925,15204992
1597516928,15204992
1597516931,15204992
1597516934,15206016
1597516937,15211136
1597516940,15211136
1597516943,15211904
1597516946,15211904
1597516949,15211904
1597516952,15212800
1597516955,15217408
1597516958,15225344
1597516961,15225344
1597516964,15225344
1597516967,15225344
1597516970,15225344
1597516973,15225344
1597516976,15225344
1597516979,15226496
1597516982,15226496
1597516985,15226496
1597516988,15226496
1597516991,15226496
1597516994,15245952
1597516997,15245952
1597517000,15245952
1597517003,15245952
1597517006,15247488
1597517009,15248256
1597517012,15254912
1597517015,15255936
1597517018,15255936
1597517021,15255936
1597517024,15257600
1597517027,15257600
1597517030,15257600
1597517033,15257600
1597517036,15257600
1597517039,15258368
1597517042,15259136
1597517045,15259136
1597517048,15259136
1597517051,15259136
1597517054,15259136
1597517057,15259136
1597517060,15259136
1597517063,15259136
1597517066,15259136
1597517069,15261440
1597517072,15261440
1597517075,15261440
1597517078,15265024
1597517081,15265024
1597517084,15265664
1597517087,15265664
1597517090,15265664
1597517093,15265664
1597517096,15265664
1597517099,15265664
1597517102,15265664
1597517105,15265664
1597517108,15265664
1597517111,15265664
1597517114,15265664
1597517117,15267328
1597517120,15267328
1597517123,15267328
1597517126,15267328
1597517129,15267328
1597517132,15267328
1597517135,15267328
1597517138,15274496
1597517141,15274496
1597517144,15276160
1597517147,15276160
1597517150,15276160
1597517153,15276160
1597517156,15276160
1597517159,15277696
1597517162,15277696
1597517165,15277696
1597517168,15277696
1597517171,15277696
1597517174,15277696
1597517177,15277696
1597517180,15277696
1597517183,15277696
1597517186,15277696
1597517189,15279104
1597517192,15279104
1597517195,15290368
1597517198,15290368
