t,value
1597515515,13972352
1597515518,14045056
1597515521,14933376
1597515524,15442176
1597515527,17831552
1597515530,17872256
1597515533,17891968
1597515536,17912192
1597515539,17923968
1597515542,17961984
1597515545,17970688
1597515548,17975552
1597515551,17987072
1597515554,18003200
1597515557,18004352
1597515560,18024960
1597515563,18226304
1597515566,18251776
1597515569,18266112
1597515572,18316288
1597515575,18342784
1597515578,18344960
1597515581,18347776
1597515584,18347776
1597515587,18349312
1597515590,18357248
1597515593,18361472
1597515596,18361472
1597515599,18383872
1597515602,18387840
1597515605,18389760
1597515608,18397440
1597515611,18414080
1597515614,18416768
1597515617,18418176
1597515620,18418176
1597515623,18495872
1597515626,18495872
1597515629,18495872
1597515632,18521216
1597515635,18529152
1597515638,18536064
1597515641,18538240
1597515644,18568704
1597515647,19472256
1597515650,21983360
1597515653,23841152
1597515656,26789504
1597515659,27744896
1597515662,28263552
1597515665,28263552
1597515668,28278784
1597515671,28282880
1597515674,28286592
1597515677,26467456
1597515680,26467456
1597515683,26496768
1597515686,26516224
1597515689,26516224
1597515692,26596096
1597515695,26596096
1597515698,26598784
1597515701,26618496
1597515704,26631040
1597515707,26704512
1597515710,28487168
1597515713,28670592
1597515716,28672000
1597515719,28672000
1597515722,28672000
1597515725,28672000
1597515728,28881152
1597515731,28974080
1597515734,28974080
1597515737,28974080
1597515740,28974080
1597515743,29316224
1597515746,30826112
1597515749,31299456
1597515752,31377536
1597515755,31813376
1597515758,33419008
1597515761,35637760
1597515764,36493184
1597515767,38653184
1597515770,36772736
1597515773,37844608
1597515776,38130816
1597515779,38148864
1597515782,38156288
1597515785,38156288
1597515788,38156288
1597515791,38259328
1597515794,38259328
1597515797,38259328
1597515800,38259328
1597515803,38281088
1597515806,38281088
1597515809,38281088
1597515812,38414592
1597515815,38414592
1597515818,38414592
1597515821,38414592
1597515824,38414592
1597515827,38438144
1597515830,38590976
1597515833,38593152
1597515836,38593152
1597515839,38593152
1597515842,38594304
1597515845,38594304
1597515848,38594304
1597515851,38720128
1597515854,38720128
1597515857,38720128
1597515860,38720128
1597515863,38720128
1597515866,38726272
1597515869,38726272
1597515872,38731008
1597515875,38731008
1597515878,38731008
1597515881,38733824
1597515884,38739840
1597515887,38739840
1597515890,38739840
1597515893,38746880
1597515896,38793728
1597515899,38814720
1597515902,38814720
1597515905,38814720
1597515908,38819456
1597515911,38819456
1597515914,38819456
1597515917,38819456
1597515920,38822144
1597515923,38866048
1597515926,38866048
1597515929,38866048
1597515932,38866048
1597515935,38866048
1597515938,38866048
1597515941,38870400
1597515944,38870400
1597515947,38870400
1597515950,38870400
1597515953,38873984
1597515956,38873984
1597515959,38873984
1597515962,38873984
1597515965,38873984
1597515968,38873984
1597515971,38873984
1597515974,38873984
1597515977,38877696
1597515980,38877696
1597515983,38877696
1597515986,38877696
1597515989,38910720
1597515992,39426688
1597515995,40310912
1597515998,40391296
1597516001,41170688
1597516004,41325440
1597516007,41359616
1597516010,41411968
1597516013,41422720
1597516016,41424256
1597516019,41424256
1597516022,41429120
1597516025,41430400
1597516028,41499392
1597516031,41499392
1597516034,41501184
1597516037,41501184
