t,value
1597515515,9809848
1597515518,10460952
1597515521,11932736
1597515524,14537136
1597515527,15643344
1597515530,15643344
1597515533,15643344
1597515536,15643344
1597515539,15643344
1597515542,15643344
1597515545,15643344
1597515548,15643344
1597515551,15643344
1597515554,15643344
1597515557,15643344
1597515560,15643344
1597515563,15647496
1597515566,15647496
1597515569,15647496
1597515572,15647496
1597515575,15647496
1597515578,15647496
1597515581,15647496
1597515584,15647496
1597515587,15647496
1597515590,15647496
1597515593,15647496
1597515596,15647496
1597515599,15647496
1597515602,15647496
1597515605,15647496
1597515608,15647496
1597515611,15647496
1597515614,15647496
1597515617,15647496
1597515620,15647496
1597515623,15647496
1597515626,15647496
1597515629,15647496
1597515632,15647496
1597515635,15647496
1597515638,15647496
1597515641,15647496
1597515644,15647496
1597515647,15853056
1597515650,16406104
1597515653,17110928
1597515656,17496344
1597515659,17600064
1597515662,17639656
1597515665,17639656
1597515668,17639656
1597515671,17639656
1597515674,17639656
1597515677,17641312
1597515680,17641312
1597515683,17641312
1597515686,17641312
1597515689,17641312
1597515692,17641312
1597515695,17641312
1597515698,17641312
1597515701,17641312
1597515704,17641312
1597515707,17641312
1597515710,17746264
1597515713,17747976
1597515716,17747976
1597515719,17747976
1597515722,17747976
1597515725,17747976
1597515728,17747976
1597515731,17747976
1597515734,17747976
1597515737,17747976
1597515740,17747976
1597515743,17973552
1597515746,18382744
1597515749,18384952
1597515752,18384952
1597515755,18419224
1597515758,18988176
1597515761,19092888
1597515764,19105200
1597515767,19147640
1597515770,19154072
1597515773,19259496
1597515776,19259496
1597515779,19259496
1597515782,19259496
1597515785,19259496
1597515788,19259496
1597515791,19266112
1597515794,19266112
1597515797,19266112
1597515800,19266112
1597515803,19266112
1597515806,19266112
1597515809,19266112
1597515812,19267672
1597515815,19267672
1597515818,19267672
1597515821,19267672
1597515824,19267672
1597515827,19267672
1597515830,19267672
1597515833,19267672
1597515836,19267672
1597515839,19267672
1597515842,19267672
1597515845,19267672
1597515848,19267672
1597515851,19267672
1597515854,19267672
1597515857,19267672
1597515860,19267672
1597515863,19267672
1597515866,19267672
1597515869,19267672
1597515872,19267672
1597515875,19267672
1597515878,19267672
1597515881,19267672
1597515884,19267672
1597515887,19267672
1597515890,19267672
1597515893,19267672
1597515896,19267672
1597515899,19267672
1597515902,19267672
1597515905,19267672
1597515908,19267672
1597515911,19267672
1597515914,19267672
1597515917,19267672
1597515920,19267672
1597515923,19267672
1597515926,19267672
1597515929,19267672
1597515932,19268224
1597515935,19268224
1597515938,19268224
1597515941,19268224
