t,value
1597515515,36700160
1597515518,74448896
1597515521,148897792
1597515524,33554432
1597515527,82837504
1597515530,83886080
1597515533,84934656
1597515536,84934656
1597515539,85983232
1597515542,87031808
1597515545,88080384
1597515548,89128960
1597515551,90177536
1597515554,91226112
1597515557,92274688
1597515560,93323264
1597515563,104857600
1597515566,104857600
1597515569,105906176
1597515572,114294784
1597515575,115343360
1597515578,116391936
1597515581,117440512
1597515584,118489088
1597515587,119537664
1597515590,119537664
1597515593,120586240
1597515596,121634816
1597515599,122683392
1597515602,122683392
1597515605,123731968
1597515608,124780544
1597515611,125829120
1597515614,126877696
1597515617,126877696
1597515620,127926272
1597515623,136314880
1597515626,137363456
1597515629,138412032
1597515632,145752064
1597515635,146800640
1597515638,147849216
1597515641,147849216
1597515644,148897792
1597515647,165675008
1597515650,207618048
1597515653,3145728
1597515656,49283072
1597515659,68157440
1597515662,79691776
1597515665,80740352
1597515668,81788928
1597515671,81788928
1597515674,83886080
1597515677,88080384
1597515680,89128960
1597515683,98566144
1597515686,99614720
1597515689,100663296
1597515692,108003328
1597515695,109051904
1597515698,110100480
1597515701,111149056
1597515704,112197632
1597515707,113246208
1597515710,160432128
1597515713,164626432
1597515716,165675008
1597515719,165675008
1597515722,166723584
1597515725,167772160
1597515728,170917888
1597515731,171966464
1597515734,173015040
1597515737,173015040
1597515740,174063616
1597515743,197132288
1597515746,244318208
1597515749,250609664
1597515752,260046848
1597515755,17825792
1597515758,45088768
1597515761,76546048
1597515764,162529280
1597515767,260046848
1597515770,20971520
1597515773,72351744
1597515776,164626432
1597515779,165675008
1597515782,166723584
1597515785,167772160
1597515788,168820736
1597515791,171966464
1597515794,173015040
1597515797,173015040
1597515800,174063616
1597515803,183500800
1597515806,184549376
1597515809,185597952
1597515812,198180864
1597515815,198180864
1597515818,199229440
1597515821,200278016
1597515824,201326592
1597515827,202375168
1597515830,205520896
1597515833,206569472
1597515836,206569472
1597515839,207618048
1597515842,208666624
1597515845,209715200
1597515848,209715200
1597515851,213909504
1597515854,213909504
1597515857,214958080
1597515860,216006656
1597515863,224395264
1597515866,225443840
1597515869,226492416
1597515872,235929600
1597515875,235929600
1597515878,236978176
1597515881,238026752
1597515884,239075328
1597515887,240123904
1597515890,240123904
1597515893,241172480
1597515896,242221056
1597515899,243269632
1597515902,243269632
1597515905,244318208
1597515908,245366784
1597515911,246415360
1597515914,246415360
1597515917,247463936
1597515920,248512512
1597515923,256901120
1597515926,257949696
1597515929,258998272
1597515932,268435456
1597515935,269484032
1597515938,270532608
1597515941,270532608
