t,value
1597515515,22020096
1597515518,22020096
1597515521,22020096
1597515524,26214400
1597515527,26214400
1597515530,26214400
1597515533,26214400
1597515536,26214400
1597515539,26214400
1597515542,26214400
1597515545,26214400
1597515548,26214400
1597515551,26214400
1597515554,26214400
1597515557,26214400
1597515560,26214400
1597515563,26214400
1597515566,26214400
1597515569,26214400
1597515572,26214400
1597515575,26214400
1597515578,26214400
1597515581,26214400
1597515584,26214400
1597515587,26214400
1597515590,26214400
1597515593,26214400
1597515596,26214400
1597515599,26214400
1597515602,26214400
1597515605,26214400
1597515608,26214400
1597515611,26214400
1597515614,26214400
1597515617,26214400
1597515620,26214400
1597515623,26214400
1597515626,26214400
1597515629,26214400
1597515632,26214400
1597515635,26214400
1597515638,26214400
1597515641,26214400
1597515644,26214400
1597515647,26214400
1597515650,26214400
1597515653,27262976
1597515656,27262976
1597515659,27262976
1597515662,27262976
1597515665,27262976
1597515668,27262976
1597515671,27262976
1597515674,27262976
1597515677,27262976
1597515680,27262976
1597515683,27262976
1597515686,27262976
1597515689,27262976
1597515692,27262976
1597515695,27262976
1597515698,27262976
1597515701,27262976
1597515704,27262976
1597515707,27262976
1597515710,27262976
1597515713,27262976
1597515716,27262976
1597515719,27262976
1597515722,27262976
1597515725,27262976
1597515728,27262976
1597515731,27262976
1597515734,27262976
1597515737,27262976
1597515740,27262976
1597515743,27262976
1597515746,27262976
1597515749,27262976
1597515752,27262976
1597515755,12582912
1597515758,12582912
1597515761,12582912
1597515764,12582912
1597515767,12582912
1597515770,26214400
1597515773,26214400
1597515776,26214400
1597515779,26214400
1597515782,26214400
1597515785,26214400
1597515788,26214400
1597515791,26214400
1597515794,26214400
1597515797,26214400
1597515800,26214400
1597515803,26214400
1597515806,26214400
1597515809,26214400
1597515812,26214400
1597515815,26214400
1597515818,26214400
1597515821,26214400
1597515824,26214400
1597515827,26214400
1597515830,26214400
1597515833,26214400
1597515836,26214400
1597515839,26214400
1597515842,26214400
1597515845,26214400
1597515848,26214400
1597515851,26214400
1597515854,26214400
1597515857,26214400
1597515860,26214400
1597515863,26214400
1597515866,26214400
1597515869,26214400
1597515872,26214400
1597515875,26214400
1597515878,26214400
1597515881,26214400
1597515884,26214400
1597515887,26214400
1597515890,26214400
1597515893,26214400
1597515896,26214400
1597515899,26214400
1597515902,26214400
1597515905,26214400
1597515908,26214400
1597515911,26214400
1597515914,26214400
1597515917,26214400
1597515920,26214400
1597515923,26214400
1597515926,26214400
1597515929,26214400
1597515932,26214400
1597515935,26214400
1597515938,26214400
1597515941,26214400
1597515944,26214400
1597515947,26214400
1597515950,26214400
1597515953,26214400
1597515956,26214400
1597515959,26214400
1597515962,26214400
1597515965,26214400
1597515968,26214400
1597515971,26214400
1597515974,26214400
1597515977,26214400
1597515980,26214400
1597515983,26214400
1597515986,26214400
1597515989,26214400
1597515992,9437184
1597515995,9437184
1597515998,9437184
1597516001,9437184
1597516004,9437184
1597516007,9437184
1597516010,9437184
1597516013,9437184
1597516016,9437184
1597516019,9437184
1597516022,9437184
1597516025,9437184
1597516028,9437184
1597516031,9437184
1597516034,9437184
1597516037,9437184
1597516040,9437184
1597516043,9437184
1597516046,9437184
1597516049,9437184
1597516052,9437184
