t,value
1597515515,72714672
1597515518,78032904
1597515521,84877112
1597515524,101812440
1597515527,107697504
1597515530,107713848
1597515533,107721400
1597515536,107724976
1597515539,107727664
1597515542,107736632
1597515545,107738640
1597515548,107739400
1597515551,107739840
1597515554,107744944
1597515557,107745384
1597515560,107751080
1597515563,107812376
1597515566,107819672
1597515569,107822616
1597515572,107830040
1597515575,107834096
1597515578,107834856
1597515581,107835752
1597515584,107835752
1597515587,107836192
1597515590,107838152
1597515593,107839432
1597515596,107840696
1597515599,107847256
1597515602,107848488
1597515605,107848952
1597515608,107851112
1597515611,107857640
1597515614,107858104
1597515617,107858600
1597515620,107858600
1597515623,107871024
1597515626,107871024
1597515629,107871024
1597515632,107878600
1597515635,107880856
1597515638,107884456
1597515641,107884952
1597515644,107887688
1597515647,109647864
1597515650,112444360
1597515653,115283776
1597515656,117430696
1597515659,117982128
1597515662,118279528
1597515665,118279528
1597515668,118285992
1597515671,118287312
1597515674,118287912
1597515677,118315936
1597515680,118315936
1597515683,118324112
1597515686,118324112
1597515689,118324112
1597515692,118341256
1597515695,118341256
1597515698,118341256
1597515701,118344520
1597515704,118348072
1597515707,118379880
1597515710,119213512
1597515713,119265536
1597515716,119265976
1597515719,119265976
1597515722,119265976
1597515725,119265976
1597515728,119318936
1597515731,119345792
1597515734,119345792
1597515737,119345792
1597515740,119345792
1597515743,120588424
1597515746,122453440
1597515749,122582920
1597515752,122600424
1597515755,122942848
1597515758,127654648
1597515761,128814000
1597515764,129091736
1597515767,129877480
1597515770,130039720
1597515773,130750144
1597515776,130822680
1597515779,130825464
1597515782,130825464
1597515785,130825464
1597515788,130825464
1597515791,130874848
1597515794,130874848
1597515797,130874848
1597515800,130874848
1597515803,130877600
1597515806,130877600
1597515809,130878192
1597515812,130917960
1597515815,130917960
1597515818,130917960
1597515821,130917960
1597515824,130917960
1597515827,130928768
1597515830,130970504
1597515833,130970952
1597515836,130970952
1597515839,130970952
1597515842,130970952
1597515845,130970952
1597515848,130970952
1597515851,131000896
1597515854,131000896
1597515857,131000896
1597515860,131000896
1597515863,131000896
1597515866,131001824
1597515869,131001824
1597515872,131002832
1597515875,131002832
1597515878,131002832
1597515881,131003696
1597515884,131005624
1597515887,131005624
1597515890,131005624
1597515893,131008424
1597515896,131030448
1597515899,131037904
1597515902,131037904
1597515905,131037904
1597515908,131037904
1597515911,131038384
1597515914,131038384
1597515917,131038384
1597515920,131038928
1597515923,131050152
1597515926,131050152
1597515929,131050152
1597515932,131054224
1597515935,131054224
1597515938,131054224
1597515941,131055048
1597515944,131055048
1597515947,131055048
1597515950,131055048
1597515953,131056376
1597515956,131056376
1597515959,131056376
1597515962,131056376
1597515965,131056376
1597515968,131056376
1597515971,131056376
1597515974,131056376
1597515977,131062704
1597515980,131062704
1597515983,131062784
1597515986,131062784
1597515989,131071288
1597515992,131286936
1597515995,131724616
1597515998,131767496
1597516001,132409072
1597516004,132651856
1597516007,132659768
1597516010,132662424
1597516013,132664720
1597516016,132665176
1597516019,132665176
1597516022,132666400
1597516025,132666840
1597516028,132668240
1597516031,132668240
1597516034,132668240
1597516037,132668240
1597516040,132668240
1597516043,132679648
1597516046,132679648
1597516049,132717384
1597516052,132721096
1597516055,132721096
1597516058,132721096
1597516061,132721096
1597516064,132733816
1597516067,132734256
1597516070,132734256
1597516073,132734648
1597516076,132734648
1597516079,132737496
1597516082,132741072
1597516085,132741072
1597516088,132749056
1597516091,132749056
1597516094,132752936
1597516097,132752936
1597516100,132752936
1597516103,132758088
1597516106,132758088
1597516109,132759224
1597516112,132760056
1597516115,132760696
1597516118,132760696
1597516121,132760696
1597516124,132773944
1597516127,132773944
1597516130,132773944
1597516133,132773944
1597516136,132773944
1597516139,132774504
1597516142,132774504
1597516145,132774504
1597516148,132774504
1597516151,132775464
1597516154,132777888
1597516157,132777888
1597516160,132777888
1597516163,132778296
1597516166,132778296
1597516169,132779184
1597516172,132779184
1597516175,132779184
1597516178,132782216
1597516181,132782216
1597516184,132783800
1597516187,132784872
1597516190,132784872
1597516193,132787352
1597516196,132787352
1597516199,132788272
1597516202,132790904
1597516205,132790904
1597516208,132794536
1597516211,132794536
1597516214,132799120
1597516217,132825696
1597516220,132826056
1597516223,132837176
1597516226,132837176
1597516229,132840216
1597516232,132840216
1597516235,132840216
1597516238,132853112
1597516241,132853112
1597516244,132859616
1597516247,132863032
1597516250,132863032
1597516253,132864928
1597516256,132864928
1597516259,132864928
1597516262,132866608
1597516265,132866608
1597516268,132867272
1597516271,132869432
1597516274,132872384
1597516277,132879064
1597516280,132897560
1597516283,132905368
1597516286,132905368
1597516289,132908168
1597516292,132908608
1597516295,132908608
1597516298,132910664
1597516301,132910664
1597516304,132910664
1597516307,132910664
1597516310,132910664
1597516313,132910664
1597516316,132910664
1597516319,132925304
1597516322,132926248
1597516325,132926248
1597516328,132926248
1597516331,132926248
1597516334,132927112
1597516337,132935128
1597516340,132935128
1597516343,132938552
1597516346,132938552
1597516349,132944840
1597516352,132957568
1597516355,132957568
1597516358,132957568
1597516361,132957568
1597516364,132957568
1597516367,132957568
1597516370,132957568
1597516373,132958544
1597516376,132958544
1597516379,132959936
1597516382,132959936
1597516385,132959936
1597516388,132959936
1597516391,132959936
1597516394,132964624
1597516397,132965760
1597516400,132965760
1597516403,132967632
1597516406,132967632
1597516409,132967632
1597516412,132968360
1597516415,132968360
1597516418,132969656
1597516421,132969656
1597516424,132969656
1597516427,132969656
1597516430,132969656
1597516433,132969656
1597516436,132969656
1597516439,132969656
1597516442,134123928
1597516445,134145808
1597516448,134916576
1597516451,134916576
1597516454,134917592
1597516457,134917592
1597516460,134917592
1597516463,134918368
1597516466,134918368
1597516469,134920888
1597516472,134921768
1597516475,134921768
1597516478,134939024
1597516481,134939024
1597516484,134939024
1597516487,134940144
1597516490,134940144
1597516493,134940144
1597516496,134940144
1597516499,134940144
1597516502,134940144
1597516505,134940144
1597516508,134940144
1597516511,134940144
1597516514,134940144
1597516517,134940144
1597516520,134940144
1597516523,134941944
1597516526,134941944
1597516529,134941944
1597516532,134941944
1597516535,134941944
1597516538,134941944
1597516541,134941944
1597516544,134941944
1597516547,134941944
1597516550,134942840
1597516553,134942840
1597516556,134942840
1597516559,134942840
1597516562,134942840
1597516565,134942840
1597516568,134942840
1597516571,134942840
1597516574,135016752
1597516577,135137616
1597516580,135137616
1597516583,135138344
1597516586,135138344
1597516589,135146928
1597516592,135149816
1597516595,135149816
1597516598,135149816
1597516601,135149816
1597516604,135150648
1597516607,135164448
1597516610,135164448
1597516613,135174896
1597516616,135174896
1597516619,135184280
1597516622,135190520
1597516625,135190520
1597516628,135202592
1597516631,135202592
1597516634,135211544
1597516637,135217968
1597516640,135217968
1597516643,135220856
1597516646,135220856
1597516649,135225320
1597516652,135229640
1597516655,135232672
1597516658,135232672
1597516661,135233880
1597516664,135243680
1597516667,135246544
1597516670,135246544
1597516673,135246544
1597516676,135246544
1597516679,135246544
1597516682,135246544
1597516685,135246544
1597516688,135246544
1597516691,135246936
1597516694,135246936
1597516697,135246936
1597516700,135247744
1597516703,135257488
1597516706,135257488
1597516709,135258408
1597516712,135259296
1597516715,135263144
1597516718,135263144
1597516721,135263144
1597516724,135263496
1597516727,135267880
