t,value
1597515515,0
1597515518,0
1597515521,0
1597515524,0
1597515527,0
1597515530,0
1597515533,0
1597515536,0
1597515539,0
1597515542,0
1597515545,0
1597515548,0
1597515551,0
1597515554,0
1597515557,0
1597515560,0
1597515563,0
1597515566,0
1597515569,0
1597515572,0
1597515575,0
1597515578,0
1597515581,0
1597515584,0
1597515587,0
1597515590,0
1597515593,0
1597515596,0
1597515599,0
1597515602,0
1597515605,0
1597515608,0
1597515611,0
1597515614,0
1597515617,0
1597515620,0
1597515623,0
1597515626,0
1597515629,0
1597515632,0
1597515635,0
1597515638,0
1597515641,0
1597515644,0
1597515647,0
1597515650,253
1597515653,369
1597515656,369
1597515659,369
1597515662,369
1597515665,369
1597515668,369
1597515671,369
1597515674,369
1597515677,369
1597515680,369
1597515683,369
1597515686,369
1597515689,369
1597515692,369
1597515695,369
1597515698,369
1597515701,369
1597515704,369
1597515707,369
1597515710,369
1597515713,369
1597515716,369
1597515719,369
1597515722,369
1597515725,369
1597515728,369
1597515731,369
1597515734,369
1597515737,369
1597515740,369
1597515743,369
1597515746,604
1597515749,604
1597515752,604
1597515755,604
1597515758,604
1597515761,604
1597515764,604
1597515767,750
1597515770,750
1597515773,750
1597515776,750
1597515779,750
1597515782,750
1597515785,750
1597515788,750
1597515791,750
1597515794,750
1597515797,750
1597515800,750
1597515803,750
1597515806,750
1597515809,750
1597515812,750
1597515815,750
1597515818,750
1597515821,750
1597515824,750
1597515827,750
1597515830,750
1597515833,750
1597515836,750
1597515839,750
1597515842,750
1597515845,750
1597515848,750
1597515851,750
1597515854,750
1597515857,750
1597515860,750
1597515863,750
1597515866,750
1597515869,750
1597515872,750
1597515875,750
1597515878,750
1597515881,750
1597515884,750
1597515887,750
1597515890,750
1597515893,750
1597515896,750
1597515899,750
1597515902,750
1597515905,750
1597515908,750
1597515911,750
1597515914,750
1597515917,750
1597515920,750
1597515923,750
1597515926,750
1597515929,750
1597515932,750
1597515935,750
1597515938,750
1597515941,750
1597515944,750
1597515947,750
1597515950,750
1597515953,750
1597515956,750
1597515959,750
1597515962,750
1597515965,750
1597515968,750
1597515971,750
1597515974,750
1597515977,750
1597515980,750
1597515983,750
1597515986,750
1597515989,750
1597515992,750
1597515995,1201
1597515998,1201
1597516001,1201
1597516004,1201
1597516007,1201
1597516010,1201
1597516013,1201
1597516016,1201
1597516019,1201
1597516022,1201
1597516025,1201
1597516028,1201
1597516031,1201
1597516034,1201
1597516037,1201
1597516040,1201
1597516043,1201
1597516046,1201
1597516049,1201
1597516052,1201
