t,value
1597515515,46
1597515518,50
1597515521,53
1597515524,53
1597515527,53
1597515530,53
1597515533,53
1597515536,53
1597515539,53
1597515542,53
1597515545,53
1597515548,53
1597515551,53
1597515554,53
1597515557,53
1597515560,53
1597515563,54
1597515566,54
1597515569,54
1597515572,51
1597515575,48
1597515578,47
1597515581,47
1597515584,47
1597515587,47
1597515590,47
1597515593,48
1597515596,48
1597515599,48
1597515602,48
1597515605,48
1597515608,48
1597515611,48
1597515614,48
1597515617,48
1597515620,48
1597515623,48
1597515626,47
1597515629,47
1597515632,47
1597515635,47
1597515638,47
1597515641,47
1597515644,47
1597515647,49
1597515650,62
1597515653,62
1597515656,62
1597515659,62
1597515662,62
1597515665,62
1597515668,62
1597515671,62
1597515674,62
1597515677,67
1597515680,67
1597515683,67
1597515686,67
1597515689,67
1597515692,67
1597515695,67
1597515698,67
1597515701,67
1597515704,67
1597515707,67
1597515710,67
1597515713,66
1597515716,66
1597515719,67
1597515722,67
1597515725,67
1597515728,67
1597515731,67
1597515734,67
1597515737,67
1597515740,67
1597515743,67
1597515746,67
1597515749,67
1597515752,67
1597515755,71
1597515758,72
1597515761,72
1597515764,72
1597515767,72
1597515770,74
1597515773,74
1597515776,74
1597515779,74
1597515782,74
1597515785,74
1597515788,74
1597515791,74
1597515794,74
1597515797,74
1597515800,74
1597515803,74
1597515806,74
1597515809,74
1597515812,74
1597515815,74
1597515818,74
1597515821,74
1597515824,74
1597515827,73
1597515830,73
1597515833,73
1597515836,73
1597515839,73
1597515842,71
1597515845,71
1597515848,71
1597515851,71
1597515854,71
1597515857,71
1597515860,71
1597515863,71
1597515866,71
1597515869,71
1597515872,71
1597515875,71
1597515878,71
1597515881,71
1597515884,71
1597515887,71
1597515890,71
1597515893,71
1597515896,72
1597515899,72
1597515902,72
1597515905,72
1597515908,72
1597515911,70
1597515914,70
1597515917,70
1597515920,70
1597515923,70
1597515926,70
1597515929,70
1597515932,70
1597515935,70
1597515938,70
1597515941,70
