t,value
1597515515,52
1597515518,56
1597515521,59
1597515524,59
1597515527,59
1597515530,59
1597515533,59
1597515536,59
1597515539,59
1597515542,59
1597515545,59
1597515548,59
1597515551,59
1597515554,59
1597515557,59
1597515560,59
1597515563,60
1597515566,60
1597515569,60
1597515572,57
1597515575,54
1597515578,53
1597515581,53
1597515584,53
1597515587,53
1597515590,53
1597515593,54
1597515596,54
1597515599,54
1597515602,54
1597515605,54
1597515608,54
1597515611,54
1597515614,54
1597515617,54
1597515620,54
1597515623,54
1597515626,53
1597515629,53
1597515632,53
1597515635,53
1597515638,53
1597515641,53
1597515644,53
1597515647,55
1597515650,68
1597515653,68
1597515656,68
1597515659,68
1597515662,68
1597515665,68
1597515668,68
1597515671,68
1597515674,68
1597515677,73
1597515680,73
1597515683,73
1597515686,73
1597515689,73
1597515692,73
1597515695,73
1597515698,73
1597515701,73
1597515704,73
1597515707,73
1597515710,73
1597515713,72
1597515716,72
1597515719,73
1597515722,73
1597515725,73
1597515728,73
1597515731,73
1597515734,73
1597515737,73
1597515740,73
1597515743,73
1597515746,73
1597515749,73
1597515752,73
1597515755,77
1597515758,78
1597515761,78
1597515764,79
1597515767,79
1597515770,82
1597515773,81
1597515776,81
1597515779,81
1597515782,80
1597515785,80
1597515788,80
1597515791,80
1597515794,80
1597515797,80
1597515800,80
1597515803,80
1597515806,80
1597515809,80
1597515812,80
1597515815,80
1597515818,80
1597515821,80
1597515824,80
1597515827,79
1597515830,79
1597515833,79
1597515836,79
1597515839,79
1597515842,77
1597515845,77
1597515848,77
1597515851,77
1597515854,77
1597515857,77
1597515860,77
1597515863,77
1597515866,77
1597515869,77
1597515872,77
1597515875,77
1597515878,77
1597515881,77
1597515884,77
1597515887,77
1597515890,77
1597515893,77
1597515896,78
1597515899,78
1597515902,78
1597515905,78
1597515908,78
1597515911,76
1597515914,76
1597515917,76
1597515920,76
1597515923,76
1597515926,76
1597515929,76
1597515932,76
1597515935,76
1597515938,76
1597515941,76
